Analysis,Behavioral_Variable,FDR_Significant_Relationships,Unique_Participants,Mean_r,Mean_Abs_r
lagged,Exercise_Calories,1,1,-0.5490383961731159,0.5490383961731159
lagged,Exercise_Distance,1,1,-0.4909814883675654,0.4909814883675654
lagged,Exercise_Duration,1,1,-0.454128343410481,0.454128343410481
lagged,Steps,1,1,-0.5513998405216314,0.5513998405216314
same_day,Deep_Sleep_Minutes,3,3,0.42992017177311953,0.42992017177311953
same_day,Exercise_Calories,3,3,0.5222069555351269,0.5222069555351269
same_day,Exercise_Count,1,1,0.5441130034011503,0.5441130034011503
same_day,Exercise_Distance,4,3,0.45728278794630717,0.45728278794630717
same_day,Exercise_Duration,3,3,0.446952853684999,0.446952853684999
same_day,Sleep_Composition,3,3,0.45623222021118387,0.45623222021118387
same_day,Sleep_Duration_Score,8,6,0.5403477332105976,0.5403477332105976
same_day,Sleep_Hours,2,1,0.5543325394664016,0.5543325394664016
same_day,Sleep_Restlessness,1,1,-0.6670017183043704,0.6670017183043704
same_day,Sleep_Revitalization,2,1,0.4799563673889683,0.4799563673889683
same_day,Sleep_Score,8,5,0.5255609723875988,0.5255609723875988
same_day,Steps,5,4,0.503331414750775,0.503331414750775
sensitivity_Z1,Deep_Sleep_Minutes,2,2,0.7001715991223739,0.7001715991223739
sensitivity_Z1,Exercise_Avg_HR,1,1,0.6991586387309421,0.6991586387309421
sensitivity_Z1,Exercise_Calories,2,2,0.7767766065058738,0.7767766065058738
sensitivity_Z1,Exercise_Count,1,1,0.8335591644433529,0.8335591644433529
sensitivity_Z1,Exercise_Distance,1,1,0.5890313481431979,0.5890313481431979
sensitivity_Z1,Exercise_Duration,1,1,0.7618404791985653,0.7618404791985653
sensitivity_Z1,Sleep_Duration_Score,4,3,0.7418555115749137,0.7418555115749137
sensitivity_Z1,Sleep_Restlessness,2,1,-0.862049894535621,0.862049894535621
sensitivity_Z1,Sleep_Revitalization,2,1,0.8278194391686393,0.8278194391686393
sensitivity_Z1,Sleep_Score,2,2,0.7963219599138718,0.7963219599138718
sensitivity_Z1,Steps,3,3,0.27519916439860503,0.7679079376989165
seven_day,Exercise_Avg_HR,1,1,0.6073835163686799,0.6073835163686799
seven_day,Exercise_Calories,1,1,0.5718341762701042,0.5718341762701042
seven_day,Exercise_Count,1,1,0.5270769603938563,0.5270769603938563
seven_day,Exercise_Duration,1,1,0.5987036152482487,0.5987036152482487
seven_day,Sleep_Duration_Score,1,1,-0.4574834704540815,0.4574834704540815
seven_day,Sleep_Score,1,1,-0.454705381979552,0.454705381979552
