Analysis,Wellbeing_Variable,FDR_Significant_Relationships,Unique_Participants,Mean_r,Mean_Abs_r
lagged,readiness,4,1,-0.5113870171181985,0.5113870171181985
same_day,fatigue,10,5,0.5461010476026675,0.5461010476026675
same_day,mood,3,2,0.4581035789157491,0.4581035789157491
same_day,readiness,15,4,0.42209153349051215,0.5110250959310949
same_day,sleep_quality,13,6,0.4959824010267304,0.4959824010267304
same_day,stress,2,2,0.385109072133191,0.385109072133191
sensitivity_Z1,fatigue,8,4,0.3867216002967584,0.7799804134085508
sensitivity_Z1,readiness,8,3,0.543729415112623,0.7662613392562577
sensitivity_Z1,sleep_quality,5,3,0.7422160934173505,0.7422160934173505
seven_day,stress,6,3,0.23213490264120928,0.5361978534524204
