Analysis,Participant,Behavioral_Variable,Wellbeing_Variable,r,p,N,p_FDR
lagged,p01,Steps,readiness,-0.5513998405216314,2.3346905726246063e-06,64,0.0011312858244706
lagged,p01,Exercise_Duration,readiness,-0.454128343410481,0.0001637582475985,64,0.0352080232336775
lagged,p01,Exercise_Distance,readiness,-0.4909814883675654,3.802201284720302e-05,64,0.0108996436828648
lagged,p01,Exercise_Calories,readiness,-0.5490383961731159,2.6308972662108664e-06,64,0.0011312858244706
same_day,p02,Steps,readiness,0.553478565900745,3.059230299184328e-05,50,0.0025030066084235
same_day,p02,Exercise_Duration,readiness,0.488601671925256,0.0003181568332435,50,0.0119308812466312
same_day,p02,Exercise_Distance,readiness,0.4922313508422883,0.0002824802837781,50,0.0111852236222999
same_day,p02,Exercise_Calories,readiness,0.5452740040047641,4.226391389944765e-05,50,0.0029259632699617
same_day,p04,Steps,mood,0.4232972274453322,0.0002116300843083,72,0.0100245829409194
same_day,p06,Steps,readiness,0.3811133086137478,0.0008080129397271,74,0.0234584401856254
same_day,p06,Exercise_Distance,readiness,0.4100019301480218,0.000285844603681,74,0.0111852236222999
same_day,p06,Sleep_Duration_Score,stress,0.355527697136649,0.0020237716166925,73,0.0446582731218277
same_day,p07,Sleep_Duration_Score,sleep_quality,0.5609960044689465,1.4232782215846517e-06,64,0.0003988218231955
same_day,p07,Deep_Sleep_Minutes,sleep_quality,0.399267230318956,0.0010821362705434,64,0.0286447836320311
same_day,p07,Sleep_Composition,sleep_quality,0.4536487437439204,0.0001667206233076,64,0.008463804269505
same_day,p07,Sleep_Score,sleep_quality,0.5559567723937645,1.849255659470204e-06,64,0.0003988218231955
same_day,p08,Steps,fatigue,0.4571353928531694,0.0006571068408135,52,0.0215070452986872
same_day,p08,Steps,readiness,0.7016325789408804,6.860656232200864e-09,52,6.174590608980778e-06
same_day,p08,Exercise_Duration,readiness,0.4415069069212822,0.0010511138354062,52,0.0286447836320311
same_day,p08,Exercise_Distance,readiness,0.5122074236651856,0.0001037503860913,52,0.0058359592176356
same_day,p08,Exercise_Distance,stress,0.414690447129733,0.0022386429968086,52,0.0468553185378544
same_day,p08,Exercise_Calories,readiness,0.5160412099363442,9.014747687406472e-05,52,0.0057951949419041
same_day,p08,Sleep_Duration_Score,mood,0.4871936576032857,0.0003330614012847,50,0.0119902104462492
same_day,p08,Sleep_Restlessness,readiness,-0.6670017183043704,1.2295540697906817e-07,50,5.532993314058068e-05
same_day,p08,Sleep_Composition,sleep_quality,0.4621682922146249,0.0007278418092539,50,0.021835254277617
same_day,p08,Sleep_Revitalization,readiness,0.4961171314896558,0.0002483415640379,50,0.0111753703817055
same_day,p08,Sleep_Revitalization,sleep_quality,0.4637956032882808,0.0006930047929577,50,0.0215070452986872
same_day,p08,Sleep_Score,mood,0.4638198516986295,0.0006924972326454,50,0.0215070452986872
same_day,p08,Sleep_Score,sleep_quality,0.4935654803467617,0.0002703071407649,50,0.0111852236222999
same_day,p09,Sleep_Hours,fatigue,0.6398877827820351,2.215676795530978e-06,45,0.0003988218231955
same_day,p09,Sleep_Hours,sleep_quality,0.4687772961507681,0.0011622594276912,45,0.0298866709977737
same_day,p09,Sleep_Duration_Score,fatigue,0.6057551295961315,1.037794787728312e-05,45,0.0015566921815924
same_day,p09,Sleep_Duration_Score,sleep_quality,0.4554879213798363,0.001666131608354,45,0.0394610117768052
same_day,p09,Sleep_Score,fatigue,0.592942341027169,1.771119337282267e-05,45,0.0019373755909098
same_day,p10,Sleep_Duration_Score,fatigue,0.6095355112771257,3.809928955640016e-05,39,0.00285744671673
same_day,p10,Sleep_Duration_Score,sleep_quality,0.6244408443631926,2.152639545455361e-05,39,0.0019373755909098
same_day,p10,Sleep_Score,fatigue,0.511705100975709,0.0008697328696572,39,0.0244612369591087
same_day,p10,Sleep_Score,sleep_quality,0.5666787523308817,0.0001692760853901,39,0.008463804269505
same_day,p11,Exercise_Count,readiness,0.5441130034011503,2.111921906333685e-05,54,0.0019373755909098
same_day,p11,Exercise_Duration,readiness,0.4107499822084588,0.0020344324422166,54,0.0446582731218277
same_day,p11,Exercise_Calories,readiness,0.5053056526642724,9.734452368283394e-05,54,0.0058359592176356
same_day,p11,Deep_Sleep_Minutes,fatigue,0.408291479649042,0.0021774813718588,54,0.04666031511126
same_day,p14,Sleep_Composition,sleep_quality,0.4528796246750062,0.0017851769063696,45,0.0411963901469907
same_day,p16,Sleep_Duration_Score,fatigue,0.6238450998596137,1.7011490695630765e-05,40,0.0019373755909098
same_day,p16,Deep_Sleep_Minutes,fatigue,0.4822018053513605,0.001627979983644,40,0.0394610117768052
same_day,p16,Sleep_Score,fatigue,0.5297108326553196,0.0004397036364015,40,0.0152205104908211
same_day,p16,Sleep_Score,sleep_quality,0.4901086476725556,0.0013262518509274,40,0.033156296273185
