Behavioral_Variable,FDR_Significant_Relationships,Participants,Analyses,Mean_Abs_r
Sleep_Score,17,6,3,0.5309117878154055
Sleep_Duration_Score,16,7,3,0.5598631295184076
Steps,13,6,3,0.5144106794958027
Exercise_Calories,9,5,4,0.5279233930069571
Exercise_Distance,8,4,3,0.4670257814069462
Exercise_Duration,7,5,4,0.4836759353178524
Sleep_Revitalization,6,2,2,0.4964375766294798
Deep_Sleep_Minutes,6,3,2,0.4383281542398098
Sleep_Composition,6,3,2,0.4544422112131788
Sleep_Hours,4,1,2,0.5742032258449838
Exercise_Count,4,3,3,0.5147994100200031
Exercise_Avg_HR,2,2,2,0.5234040423646736
Sleep_Restlessness,2,1,2,0.6824321935574069
