Participant,Behavioral_Variable,Wellbeing_Variable,r,p,N,Time_Lag,p_FDR,Significant_raw,Significant_FDR,Analysis
p01,Steps,fatigue,-0.2543089563648793,0.0425759936421139,64,t_to_t+1,0.6521472501511212,True,False,lagged
p01,Steps,mood,0.1204647175068693,0.3430365343044643,64,t_to_t+1,0.917607070132456,False,False,lagged
p01,Steps,readiness,-0.5513998405216314,2.3346905726246063e-06,64,t_to_t+1,0.0011312858244706726,True,True,lagged
p01,Steps,sleep_quality,-0.0321329629611375,0.8009929465915332,64,t_to_t+1,0.9835127913656734,False,False,lagged
p01,Steps,stress,0.2719181170118933,0.0297346918835855,64,t_to_t+1,0.6125005054959453,True,False,lagged
p01,Exercise_Count,fatigue,-0.2717533927965999,0.029837719525735,64,t_to_t+1,0.6125005054959453,True,False,lagged
p01,Exercise_Count,mood,-0.1043281061914602,0.4119782504078866,64,t_to_t+1,0.9396469143985654,False,False,lagged
p01,Exercise_Count,readiness,-0.3668805693039848,0.0028643653871625,64,t_to_t+1,0.20189194170974228,True,False,lagged
p01,Exercise_Count,sleep_quality,-0.3620300534999658,0.0032866130045772,64,t_to_t+1,0.20189194170974228,True,False,lagged
p01,Exercise_Count,stress,0.1254728665219542,0.3231965627325307,64,t_to_t+1,0.917607070132456,False,False,lagged
p01,Exercise_Duration,fatigue,-0.3007488716975663,0.015745404082139,64,t_to_t+1,0.5416419004255817,True,False,lagged
p01,Exercise_Duration,mood,-0.0325143051862137,0.7986804575985524,64,t_to_t+1,0.9835127913656734,False,False,lagged
p01,Exercise_Duration,readiness,-0.454128343410481,0.0001637582475985,64,t_to_t+1,0.035208023233677506,True,True,lagged
p01,Exercise_Duration,sleep_quality,-0.2186821775407557,0.082553702463832,64,t_to_t+1,0.7555616837580037,False,False,lagged
p01,Exercise_Duration,stress,0.1414717109845416,0.2648132282029394,64,t_to_t+1,0.874417730505937,False,False,lagged
p01,Exercise_Distance,fatigue,-0.4106915706816197,0.0007494526791325,64,t_to_t+1,0.10742155067565833,True,False,lagged
p01,Exercise_Distance,mood,0.0,1.0000000000000002,64,t_to_t+1,,False,False,lagged
p01,Exercise_Distance,readiness,-0.4909814883675654,3.802201284720302e-05,64,t_to_t+1,0.010899643682864866,True,True,lagged
p01,Exercise_Distance,sleep_quality,-0.1394651803677953,0.2717185558110293,64,t_to_t+1,0.8782984864491115,False,False,lagged
p01,Exercise_Distance,stress,0.1494698215616293,0.2384670123897639,64,t_to_t+1,0.8529238693978868,False,False,lagged
p01,Exercise_Calories,fatigue,-0.3628886932275212,0.0032080630899476,64,t_to_t+1,0.20189194170974228,True,False,lagged
p01,Exercise_Calories,mood,-0.0320699702628639,0.8013751035849528,64,t_to_t+1,0.9835127913656734,False,False,lagged
p01,Exercise_Calories,readiness,-0.5490383961731159,2.6308972662108664e-06,64,t_to_t+1,0.0011312858244706726,True,True,lagged
p01,Exercise_Calories,sleep_quality,-0.2594574415340738,0.0384195706706991,64,t_to_t+1,0.6266521389463884,True,False,lagged
p01,Exercise_Calories,stress,0.1765933930388674,0.1627443518146673,64,t_to_t+1,0.7895436187205949,False,False,lagged
p01,Exercise_Avg_HR,fatigue,-0.3607571413845357,0.0137777779265809,46,t_to_t+1,0.4937037090358156,True,False,lagged
p01,Exercise_Avg_HR,mood,0.0177317281009663,0.9068902832011384,46,t_to_t+1,0.9835127913656734,False,False,lagged
p01,Exercise_Avg_HR,readiness,-0.426294836985842,0.003136018192656,46,t_to_t+1,0.20189194170974228,True,False,lagged
p01,Exercise_Avg_HR,sleep_quality,-0.0606829167524494,0.688704004858013,46,t_to_t+1,0.9740705284594343,False,False,lagged
p01,Exercise_Avg_HR,stress,0.2256996993940413,0.13150887982415,46,t_to_t+1,0.784489841838574,False,False,lagged
p01,Sleep_Hours,fatigue,0.2147482721811997,0.0883680406638507,64,t_to_t+1,0.7555616837580037,False,False,lagged
p01,Sleep_Hours,mood,-0.0016536414690104,0.9896530041798808,64,t_to_t+1,0.9989313140462192,False,False,lagged
p01,Sleep_Hours,readiness,0.088974876162895,0.4844529548783912,64,t_to_t+1,0.9542543266297336,False,False,lagged
p01,Sleep_Hours,sleep_quality,-0.0637966006111664,0.6164946807393301,64,t_to_t+1,0.9580452904411608,False,False,lagged
p01,Sleep_Hours,stress,-0.0410280883143149,0.7475350922552695,64,t_to_t+1,0.9812191855948904,False,False,lagged
p01,Sleep_Duration_Score,fatigue,0.0661968160727368,0.6032673428973278,64,t_to_t+1,0.9580452904411608,False,False,lagged
p01,Sleep_Duration_Score,mood,0.0,1.0000000000000002,64,t_to_t+1,,False,False,lagged
p01,Sleep_Duration_Score,readiness,0.1049664700598684,0.4091075593625926,64,t_to_t+1,0.9396469143985654,False,False,lagged
p01,Sleep_Duration_Score,sleep_quality,-0.275476283295467,0.027581001179395,64,t_to_t+1,0.6125005054959453,True,False,lagged
p01,Sleep_Duration_Score,stress,-0.0729040349147871,0.5669833376005106,64,t_to_t+1,0.9580452904411608,False,False,lagged
