Participant,Behavioral_Variable,Wellbeing_Variable,r,p,N,Included
p01,Steps,mood,0.2752060638233265,0.0303978538110089,62,Yes
p01,Steps,readiness,-0.3511816340646004,0.0051313229677499,62,Yes
p01,Steps,stress,0.430575386499875,0.000477182462988,62,Yes
p01,Exercise_Distance,readiness,-0.3038429112777757,0.0163577963954487,62,Yes
p01,Sleep_Hours,readiness,0.3552781258054373,0.0046025331652509,62,Yes
p01,Sleep_Duration_Score,mood,-0.3060528745097333,0.0155555208370207,62,Yes
p01,Sleep_Duration_Score,readiness,0.3284756110827844,0.0091461395233476,62,Yes
p01,Sleep_Duration_Score,sleep_quality,-0.3038259702156097,0.0163640807596786,62,Yes
p01,Sleep_Duration_Score,stress,-0.4574834704540815,0.0001852673129326,62,Yes
p01,Deep_Sleep_Minutes,stress,-0.2985136779834468,0.0184394762578807,62,Yes
p01,Sleep_Restlessness,sleep_quality,0.2563050832695727,0.0443463094466968,62,Yes
p01,Sleep_Restlessness,stress,0.2718895256651965,0.0325376962143834,62,Yes
p01,Sleep_Composition,sleep_quality,-0.2653681198138434,0.0371128833344492,62,Yes
p01,Sleep_Composition,stress,-0.3478122085397039,0.0056056420906713,62,Yes
p01,Sleep_Revitalization,readiness,0.2816206740269568,0.0265926003445413,62,Yes
p01,Sleep_Score,mood,-0.2974323957825204,0.0188883412203113,62,Yes
p01,Sleep_Score,readiness,0.2680782025961596,0.0351506224196169,62,Yes
p01,Sleep_Score,sleep_quality,-0.3068303376203801,0.0152814218799766,62,Yes
p01,Sleep_Score,stress,-0.454705381979552,0.0002050265829376,62,Yes
p02,Exercise_Distance,readiness,-0.4496589281825905,0.0024853932600331,43,Yes
p02,Sleep_Hours,mood,-0.3484790015077549,0.0372625632703055,36,Yes
p02,Sleep_Duration_Score,readiness,-0.4502116632920959,0.0162159069765387,28,Yes
p04,Steps,fatigue,-0.3766143032092569,0.0019870568435619,65,Yes
p04,Steps,readiness,-0.3274943783125129,0.0077450998809124,65,Yes
p04,Exercise_Count,fatigue,-0.2758695869885467,0.0261260563148593,65,Yes
p04,Exercise_Count,readiness,-0.2923445578718573,0.0181226336238576,65,Yes
p04,Exercise_Distance,fatigue,-0.2795851451103346,0.0240996507637579,65,Yes
p04,Exercise_Distance,readiness,-0.3265822486188961,0.0079277419358389,65,Yes
p04,Exercise_Calories,readiness,-0.2771896793201188,0.0253902310654537,65,Yes
p04,Sleep_Restlessness,sleep_quality,0.2688815358526567,0.0412590730696769,58,Yes
p05,Steps,mood,0.319722380380528,0.0366188841750811,43,Yes
p05,Sleep_Duration_Score,stress,-0.5352326699128421,0.0220826856297818,18,Yes
p05,Deep_Sleep_Minutes,stress,-0.5468521041215381,0.0153956306100385,19,Yes
p05,Sleep_Score,stress,-0.6812879640315762,0.0018510407753872,18,Yes
p06,Steps,readiness,-0.2950950739655429,0.0153399078784225,67,Yes
p06,Exercise_Count,stress,0.5270769603938563,4.598417324314309e-06,67,Yes
p06,Exercise_Duration,stress,0.5987036152482487,8.72463856935557e-08,67,Yes
p06,Exercise_Distance,readiness,-0.2614288891176472,0.0326034951603485,67,Yes
p06,Exercise_Distance,sleep_quality,-0.2896023597863209,0.0174507665205131,67,Yes
p06,Exercise_Calories,stress,0.5718341762701042,4.31202864001625e-07,67,Yes
p06,Sleep_Hours,stress,0.4034883953341363,0.001389856819109,60,Yes
