Behavioral_Variable,Significant_Associations,Participants,Wellbeing_Measures,Mean_Abs_r,Mean_r
Sleep_Score,11,7,4,0.42782521562178516,-0.16310303333675422
Steps,11,7,5,0.3424588668734286,-0.01967039902103407
Exercise_Count,10,8,3,0.3562170969836601,0.1747000729007379
Exercise_Distance,9,6,4,0.3326339023325815,-0.3326339023325815
Sleep_Composition,9,6,5,0.3581247867302216,-0.02840968471217907
Sleep_Duration_Score,9,6,4,0.4103510384151725,-0.2542496863904016
Sleep_Revitalization,8,6,4,0.40218475438760015,-0.1396126389499037
Exercise_Calories,7,7,4,0.39256441239201806,0.01167286139386293
Sleep_Restlessness,7,4,4,0.3081292570315482,0.10253062300120759
Exercise_Duration,6,6,4,0.41272138709286094,0.05904255046605467
Deep_Sleep_Minutes,6,5,3,0.4514513461751772,0.16966275214018214
Exercise_Avg_HR,5,3,3,0.464401325361589,-0.22144791881411702
Sleep_Hours,5,4,4,0.3759310872073236,0.2365394866042217
