Participant,Objective_Variable,Wellness_Variable,r,p,N,Time_Lag
p01,Steps,fatigue,-0.2543089563648793,0.04257599364211394,64,t_to_t+1
p01,Steps,mood,0.12046471750686938,0.34303653430446435,64,t_to_t+1
p01,Steps,readiness,-0.5513998405216314,2.3346905726246063e-06,64,t_to_t+1
p01,Steps,sleep_quality,-0.03213296296113756,0.8009929465915332,64,t_to_t+1
p01,Steps,stress,0.27191811701189333,0.029734691883585528,64,t_to_t+1
p01,Exercise_Count,fatigue,-0.27175339279659994,0.029837719525735027,64,t_to_t+1
p01,Exercise_Count,mood,-0.1043281061914602,0.4119782504078866,64,t_to_t+1
p01,Exercise_Count,readiness,-0.3668805693039848,0.00286436538716253,64,t_to_t+1
p01,Exercise_Count,sleep_quality,-0.3620300534999658,0.0032866130045772365,64,t_to_t+1
p01,Exercise_Count,stress,0.12547286652195427,0.3231965627325307,64,t_to_t+1
p01,Exercise_Duration,fatigue,-0.30074887169756637,0.01574540408213901,64,t_to_t+1
p01,Exercise_Duration,mood,-0.03251430518621375,0.7986804575985524,64,t_to_t+1
p01,Exercise_Duration,readiness,-0.45412834341048103,0.00016375824759857897,64,t_to_t+1
p01,Exercise_Duration,sleep_quality,-0.2186821775407557,0.08255370246383209,64,t_to_t+1
p01,Exercise_Duration,stress,0.14147171098454167,0.2648132282029394,64,t_to_t+1
p01,Exercise_Distance,fatigue,-0.4106915706816197,0.0007494526791325836,64,t_to_t+1
p01,Exercise_Distance,mood,0.0,1.0000000000000002,64,t_to_t+1
p01,Exercise_Distance,readiness,-0.4909814883675654,3.802201284720302e-05,64,t_to_t+1
p01,Exercise_Distance,sleep_quality,-0.13946518036779537,0.2717185558110293,64,t_to_t+1
p01,Exercise_Distance,stress,0.1494698215616293,0.23846701238976392,64,t_to_t+1
p01,Exercise_Calories,fatigue,-0.3628886932275212,0.0032080630899476957,64,t_to_t+1
p01,Exercise_Calories,mood,-0.03206997026286396,0.8013751035849528,64,t_to_t+1
p01,Exercise_Calories,readiness,-0.5490383961731159,2.6308972662108664e-06,64,t_to_t+1
p01,Exercise_Calories,sleep_quality,-0.2594574415340738,0.03841957067069911,64,t_to_t+1
p01,Exercise_Calories,stress,0.17659339303886748,0.16274435181466734,64,t_to_t+1
p01,Exercise_Avg_HR,fatigue,-0.36075714138453574,0.013777777926580926,46,t_to_t+1
p01,Exercise_Avg_HR,mood,0.01773172810096639,0.9068902832011385,46,t_to_t+1
