Participant,Behavior_Variable,Targets,Mean_Total_Importance,Mean_Relative_Importance,Max_Relative_Importance,Top3_Target_Count
p01,Exercise_Avg_HR,5,0.16798671568860543,0.16798671568860618,0.289401841067127,3
p01,Exercise_Calories,5,0.11534702672413588,0.1153470267241364,0.3272694720512799,2
p01,Deep_Sleep_Minutes,5,0.11105819616467978,0.11105819616468024,0.2091817955685023,2
p01,Sleep_Restlessness,5,0.09356237108995949,0.09356237108995988,0.15928039631069518,2
p01,Steps,5,0.09180064122314144,0.09180064122314183,0.16115855293487666,2
p01,Sleep_Hours,5,0.08598078062757471,0.08598078062757505,0.19572895798969175,1
p01,Sleep_Score,5,0.08267669082184352,0.08267669082184387,0.16936676912202106,1
p01,Sleep_Composition,5,0.0738187055017858,0.07381870550178612,0.12566829694491244,2
p01,Sleep_Revitalization,5,0.04346714157098954,0.04346714157098973,0.057093831634726255,0
p01,Exercise_Duration,5,0.04186402522148998,0.041864025221490166,0.06984928819027719,0
p01,Sleep_Duration_Score,5,0.03602145735706506,0.036021457357065204,0.0800694568801884,0
p01,Exercise_Count,5,0.03537823455598824,0.03537823455598839,0.06622558734070709,0
p01,Exercise_Distance,5,0.02103801345273686,0.02103801345273695,0.041567845097362784,0
p02,Exercise_Duration,5,0.14828818773309452,0.1482881877330951,0.21691456519013247,3
p02,Exercise_Calories,5,0.1331264410661908,0.13312644106619134,0.21224375341784465,4
p02,Steps,5,0.12897167156095848,0.12897167156095907,0.2668096828591552,2
p02,Exercise_Count,5,0.10517956180815338,0.10517956180815383,0.1757948701689512,2
p02,Deep_Sleep_Minutes,5,0.09088282860657829,0.09088282860657868,0.13906491458101206,1
p02,Sleep_Restlessness,5,0.08780905301958235,0.08780905301958272,0.16181532749441147,2
p02,Exercise_Avg_HR,5,0.05848026188781302,0.058480261887813266,0.08547689531037775,0
p02,Exercise_Distance,5,0.05682480978420913,0.05682480978420936,0.1098783554663999,1
p02,Sleep_Hours,5,0.04563315414177353,0.045633154141773734,0.0823436845129996,0
p02,Sleep_Revitalization,5,0.03927215084220554,0.03927215084220571,0.06466014100675031,0
p02,Sleep_Score,5,0.037142555714670324,0.03714255571467048,0.06934519274195804,0
p02,Sleep_Composition,5,0.0350442022090605,0.03504420220906066,0.09311166561293242,0
p02,Sleep_Duration_Score,5,0.033345121625705944,0.03334512162570608,0.05921701181789401,0
p03,Deep_Sleep_Minutes,5,0.1767787638226408,0.1777257004129476,0.47617614928234564,3
p03,Sleep_Restlessness,5,0.1039945229375984,0.11970690595958759,0.2356857453298323,3
p03,Steps,5,0.10175735007841932,0.11187566296820269,0.15177469334674473,2
p03,Sleep_Composition,5,0.09992860955009397,0.10433319481020042,0.2080254205526116,2
p03,Sleep_Revitalization,5,0.09608925560308197,0.10401393809162493,0.1384138680590062,3
p03,Sleep_Duration_Score,5,0.088688475222996,0.0944509436279169,0.14043879551889135,2
p03,Sleep_Hours,5,0.06759347961242561,0.07525947482895883,0.11498992824799426,0
p03,Sleep_Score,5,0.0530457785911557,0.058494180478350775,0.08172602830792303,0
p03,Exercise_Duration,5,0.04196761075559709,0.04417453536159428,0.08572656170764244,0
p03,Exercise_Avg_HR,5,0.0405166915579276,0.04370302938208276,0.07034411471871993,0
p03,Exercise_Calories,5,0.03802175616822642,0.040680142944491786,0.06946456300659834,0
