Participant,Wellbeing,Behavioral_Variable,Importance,Relative_Importance,Feature_Representations,Rank
p01_daily_merged,fatigue,Deep_Sleep_Minutes,0.0573518001383397,0.05735180013833997,7,7.0
p01_daily_merged,fatigue,Exercise_Avg_HR,0.16800790578213531,0.1680079057821361,7,1.0
p01_daily_merged,fatigue,Exercise_Calories,0.1463314753740802,0.1463314753740809,7,2.0
p01_daily_merged,fatigue,Exercise_Count,0.0251574806140776,0.02515748061407772,7,13.0
p01_daily_merged,fatigue,Exercise_Distance,0.0845697310469617,0.0845697310469621,7,5.0
p01_daily_merged,fatigue,Exercise_Duration,0.0433698670803179,0.043369867080318106,7,10.0
p01_daily_merged,fatigue,Sleep_Composition,0.037725445752572,0.03772544575257218,7,11.0
p01_daily_merged,fatigue,Sleep_Duration_Score,0.0318687490170978,0.03186874901709795,7,12.0
p01_daily_merged,fatigue,Sleep_Hours,0.0804482123728059,0.08044821237280629,7,6.0
p01_daily_merged,fatigue,Sleep_Restlessness,0.0917338020412679,0.09173380204126834,7,4.0
p01_daily_merged,fatigue,Sleep_Revitalization,0.0489887075659225,0.04898870756592274,7,9.0
p01_daily_merged,fatigue,Sleep_Score,0.0571422206632017,0.05714222066320197,7,8.0
p01_daily_merged,fatigue,Steps,0.127304602551215,0.12730460255121562,7,3.0
p01_daily_merged,mood,Deep_Sleep_Minutes,0.0468863980399681,0.04688639803996829,7,10.0
p01_daily_merged,mood,Exercise_Avg_HR,0.0561950512748985,0.056195051274898725,7,7.0
p01_daily_merged,mood,Exercise_Calories,0.0480524575104266,0.048052457510426784,7,9.0
p01_daily_merged,mood,Exercise_Count,0.0429918630523164,0.042991863052316566,7,11.0
p01_daily_merged,mood,Exercise_Distance,0.0046993567515944,0.004699356751594418,7,13.0
p01_daily_merged,mood,Exercise_Duration,0.0724653559480948,0.07246535594809508,7,5.0
p01_daily_merged,mood,Sleep_Composition,0.06350537574760359,0.06350537574760384,7,6.0
p01_daily_merged,mood,Sleep_Duration_Score,0.09886467226216519,0.09886467226216558,7,4.0
p01_daily_merged,mood,Sleep_Hours,0.1121304076776438,0.11213040767764425,7,2.0
p01_daily_merged,mood,Sleep_Restlessness,0.2590797790919066,0.2590797790919076,7,1.0
p01_daily_merged,mood,Sleep_Revitalization,0.0542954303377802,0.05429543033778041,7,8.0
p01_daily_merged,mood,Sleep_Score,0.0993682407273101,0.09936824072731049,7,3.0
p01_daily_merged,mood,Steps,0.0414656115782878,0.04146561157828796,7,12.0
p01_daily_merged,readiness,Deep_Sleep_Minutes,0.0286034031983274,0.02860340319832753,7,9.0
p01_daily_merged,readiness,Exercise_Avg_HR,0.3928169226959041,0.3928169226959059,7,1.0
p01_daily_merged,readiness,Exercise_Calories,0.2883795010050466,0.2883795010050479,7,2.0
p01_daily_merged,readiness,Exercise_Count,0.008708873518714997,0.008708873518715035,7,13.0
p01_daily_merged,readiness,Exercise_Distance,0.010568882797892091,0.01056888279789214,7,12.0
p01_daily_merged,readiness,Exercise_Duration,0.0302719959385266,0.03027199593852674,7,8.0
p01_daily_merged,readiness,Sleep_Composition,0.023160661636763502,0.023160661636763606,7,10.0
p01_daily_merged,readiness,Sleep_Duration_Score,0.0316793364686187,0.03167933646861884,7,7.0
p01_daily_merged,readiness,Sleep_Hours,0.034128056251425704,0.034128056251425856,7,6.0
p01_daily_merged,readiness,Sleep_Restlessness,0.043980199895658496,0.0439801998956587,7,3.0
p01_daily_merged,readiness,Sleep_Revitalization,0.0417570749340673,0.041757074934067495,7,5.0
p01_daily_merged,readiness,Sleep_Score,0.022672629245704498,0.022672629245704602,7,11.0
p01_daily_merged,readiness,Steps,0.0432724624133455,0.043272462413345696,7,4.0
p01_daily_merged,sleep_quality,Deep_Sleep_Minutes,0.0672127855552196,0.0672127855552199,7,9.0
p01_daily_merged,sleep_quality,Exercise_Avg_HR,0.0847384310305683,0.08473843103056868,7,7.0
p01_daily_merged,sleep_quality,Exercise_Calories,0.1236827377540061,0.12368273775400665,7,1.0
p01_daily_merged,sleep_quality,Exercise_Count,0.0234508285039146,0.0234508285039147,7,12.0
p01_daily_merged,sleep_quality,Exercise_Distance,0.008927876752795171,0.008927876752795211,7,13.0
p01_daily_merged,sleep_quality,Exercise_Duration,0.1007734768072642,0.10077347680726464,7,4.0
p01_daily_merged,sleep_quality,Sleep_Composition,0.0671308103158392,0.06713081031583949,7,10.0
p01_daily_merged,sleep_quality,Sleep_Duration_Score,0.0787185314183346,0.07871853141833494,7,8.0
p01_daily_merged,sleep_quality,Sleep_Hours,0.1197751063525487,0.11977510635254923,7,2.0
p01_daily_merged,sleep_quality,Sleep_Restlessness,0.0857909980214224,0.08579099802142279,7,6.0
p01_daily_merged,sleep_quality,Sleep_Revitalization,0.040248785679252,0.04024878567925218,7,11.0
p01_daily_merged,sleep_quality,Sleep_Score,0.0951270029020101,0.09512700290201052,7,5.0
