Wellbeing,Behavioral_Variable,Mean_Importance,Mean_Relative_Importance,Participants
fatigue,Deep_Sleep_Minutes,0.07636082695085812,0.0763608269508584,16
fatigue,Exercise_Avg_HR,0.07791807597235478,0.07791807597235506,16
fatigue,Exercise_Calories,0.0759229935159105,0.0759229935159108,16
fatigue,Exercise_Count,0.02363762472009241,0.0236376247200925,16
fatigue,Exercise_Distance,0.04842149758029044,0.04842149758029063,16
fatigue,Exercise_Duration,0.07586993068379091,0.07586993068379118,16
fatigue,Sleep_Composition,0.036809303804954556,0.0368093038049547,16
fatigue,Sleep_Duration_Score,0.07071583367907038,0.07071583367907065,16
fatigue,Sleep_Hours,0.10757582149434775,0.10757582149434813,16
fatigue,Sleep_Restlessness,0.0886840058056604,0.08868400580566076,16
fatigue,Sleep_Revitalization,0.054695200466187865,0.054695200466188074,16
fatigue,Sleep_Score,0.08297662193861689,0.08297662193861724,16
fatigue,Steps,0.18041226338786132,0.1804122633878619,16
mood,Deep_Sleep_Minutes,0.0997842544591615,0.09978425445916186,16
mood,Exercise_Avg_HR,0.07787376575875508,0.07787376575875529,16
mood,Exercise_Calories,0.0720068605488073,0.07200686054880755,16
mood,Exercise_Count,0.02816585391252347,0.02816585391252357,16
mood,Exercise_Distance,0.04071645181335689,0.040716451813357035,16
mood,Exercise_Duration,0.0566286274374038,0.05662862743740401,16
mood,Sleep_Composition,0.05104911107823845,0.05104911107823862,16
mood,Sleep_Duration_Score,0.07934832288819008,0.07934832288819031,16
mood,Sleep_Hours,0.09420633777904712,0.09420633777904744,16
mood,Sleep_Restlessness,0.11499357965871496,0.11499357965871536,16
mood,Sleep_Revitalization,0.05251580583540862,0.0525158058354088,16
mood,Sleep_Score,0.08372988977660645,0.08372988977660671,16
mood,Steps,0.14898113905378305,0.14898113905378346,16
readiness,Deep_Sleep_Minutes,0.06474953903989486,0.06474953903989512,16
readiness,Exercise_Avg_HR,0.10289510044778712,0.10289510044778752,16
readiness,Exercise_Calories,0.09199160765809532,0.09199160765809566,16
readiness,Exercise_Count,0.022380614678351958,0.022380614678352027,16
readiness,Exercise_Distance,0.03110450429855513,0.031104504298555262,16
readiness,Exercise_Duration,0.07322960182691789,0.07322960182691815,16
readiness,Sleep_Composition,0.02537873158032424,0.025378731580324346,16
readiness,Sleep_Duration_Score,0.05238096225801783,0.05238096225801804,16
readiness,Sleep_Hours,0.07945801079148085,0.07945801079148117,16
readiness,Sleep_Restlessness,0.09321536123221678,0.09321536123221716,16
readiness,Sleep_Revitalization,0.047758819023936736,0.04775881902393693,16
readiness,Sleep_Score,0.070390519194769,0.07039051919476928,16
readiness,Steps,0.24506662796964865,0.24506662796964934,16
sleep_quality,Deep_Sleep_Minutes,0.10903328988242154,0.10903328988242193,16
sleep_quality,Exercise_Avg_HR,0.08598280744415249,0.08598280744415276,16
sleep_quality,Exercise_Calories,0.07085951274698052,0.07085951274698075,16
sleep_quality,Exercise_Count,0.030904716141973557,0.030904716141973654,16
sleep_quality,Exercise_Distance,0.02914475329261451,0.02914475329261463,16
sleep_quality,Exercise_Duration,0.07141659624929007,0.07141659624929032,16
sleep_quality,Sleep_Composition,0.043691561527385174,0.04369156152738534,16
sleep_quality,Sleep_Duration_Score,0.07747153485151566,0.07747153485151596,16
sleep_quality,Sleep_Hours,0.09194694030987406,0.09194694030987441,16
sleep_quality,Sleep_Restlessness,0.07508296800513578,0.07508296800513607,16
sleep_quality,Sleep_Revitalization,0.07019472455578098,0.07019472455578123,16
sleep_quality,Sleep_Score,0.10610045007364209,0.10610045007364251,16
sleep_quality,Steps,0.13817014491923,0.1381701449192304,16
stress,Deep_Sleep_Minutes,0.0985694393401156,0.09856943934011593,16
stress,Exercise_Avg_HR,0.0909693658348826,0.09096936583488288,16
stress,Exercise_Calories,0.07584096591837544,0.07584096591837569,16
stress,Exercise_Count,0.019665244861916047,0.019665244861916117,16
stress,Exercise_Distance,0.032501436738702795,0.03250143673870292,16
stress,Exercise_Duration,0.0721169787015784,0.07211697870157863,16
stress,Sleep_Composition,0.03851103456965833,0.03851103456965846,16
stress,Sleep_Duration_Score,0.0534494683744351,0.053449468374435295,16
stress,Sleep_Hours,0.08060369738092558,0.08060369738092586,16
stress,Sleep_Restlessness,0.11310143210914043,0.11310143210914084,16
stress,Sleep_Revitalization,0.05088628647768322,0.0508862864776834,16
stress,Sleep_Score,0.08477765310692703,0.0847776531069273,16
stress,Steps,0.18900699658565606,0.18900699658565667,16
