Participant,Variable,Variable_Type,Total_Days,Missing_Days,Missing_Percentage,Longest_Missing_Streak,First_10_Days_All_Missing,Status
p01,Steps,Activity_Exercise,138,0,0.0,0,False,Available
p01,Exercise_Count,Activity_Exercise,138,0,0.0,0,False,Available
p01,Exercise_Duration,Activity_Exercise,138,0,0.0,0,False,Available
p01,Exercise_Distance,Activity_Exercise,138,0,0.0,0,False,Available
p01,Exercise_Calories,Activity_Exercise,138,0,0.0,0,False,Available
p01,Exercise_Avg_HR,Activity_Exercise,138,31,22.46,3,False,Available_With_Missing
p01,Sleep_Hours,Sleep,138,1,0.72,1,False,Available_Sleep_Exempt
p01,Sleep_Duration_Score,Sleep,138,1,0.72,1,False,Available_Sleep_Exempt
p01,Deep_Sleep_Minutes,Sleep,138,1,0.72,1,False,Available_Sleep_Exempt
p01,Sleep_Restlessness,Sleep,138,1,0.72,1,False,Available_Sleep_Exempt
p01,Sleep_Composition,Sleep,138,1,0.72,1,False,Available_Sleep_Exempt
p01,Sleep_Revitalization,Sleep,138,1,0.72,1,False,Available_Sleep_Exempt
p01,Sleep_Score,Sleep,138,1,0.72,1,False,Available_Sleep_Exempt
p02,Steps,Activity_Exercise,99,1,1.01,1,False,Available_With_Missing
p02,Exercise_Count,Activity_Exercise,99,0,0.0,0,False,Available
p02,Exercise_Duration,Activity_Exercise,99,0,0.0,0,False,Available
p02,Exercise_Distance,Activity_Exercise,99,0,0.0,0,False,Available
p02,Exercise_Calories,Activity_Exercise,99,0,0.0,0,False,Available
p02,Exercise_Avg_HR,Activity_Exercise,99,12,12.12,2,False,Available_With_Missing
p02,Sleep_Hours,Sleep,99,3,3.03,1,False,Available_Sleep_Exempt
p02,Sleep_Duration_Score,Sleep,99,6,6.06,2,False,Available_Sleep_Exempt
p02,Deep_Sleep_Minutes,Sleep,99,3,3.03,1,False,Available_Sleep_Exempt
p02,Sleep_Restlessness,Sleep,99,6,6.06,2,False,Available_Sleep_Exempt
p02,Sleep_Composition,Sleep,99,6,6.06,2,False,Available_Sleep_Exempt
p02,Sleep_Revitalization,Sleep,99,6,6.06,2,False,Available_Sleep_Exempt
p02,Sleep_Score,Sleep,99,6,6.06,2,False,Available_Sleep_Exempt
p03,Steps,Activity_Exercise,82,13,15.85,12,False,Available_With_Long_Missing_Streak
p03,Exercise_Count,Activity_Exercise,82,0,0.0,0,False,Available
p03,Exercise_Duration,Activity_Exercise,82,0,0.0,0,False,Available
p03,Exercise_Distance,Activity_Exercise,82,0,0.0,0,False,Available
p03,Exercise_Calories,Activity_Exercise,82,0,0.0,0,False,Available
p03,Exercise_Avg_HR,Activity_Exercise,82,46,56.1,18,False,Available_With_Long_Missing_Streak
p03,Sleep_Hours,Sleep,82,34,41.46,16,False,Available_Sleep_Exempt
p03,Sleep_Duration_Score,Sleep,82,36,43.9,16,False,Available_Sleep_Exempt
p03,Deep_Sleep_Minutes,Sleep,82,34,41.46,16,False,Available_Sleep_Exempt
p03,Sleep_Restlessness,Sleep,82,36,43.9,16,False,Available_Sleep_Exempt
p03,Sleep_Composition,Sleep,82,36,43.9,16,False,Available_Sleep_Exempt
p03,Sleep_Revitalization,Sleep,82,36,43.9,16,False,Available_Sleep_Exempt
p03,Sleep_Score,Sleep,82,36,43.9,16,False,Available_Sleep_Exempt
p04,Steps,Activity_Exercise,145,5,3.45,5,False,Available_With_Missing
p04,Exercise_Count,Activity_Exercise,145,0,0.0,0,False,Available
p04,Exercise_Duration,Activity_Exercise,145,0,0.0,0,False,Available
p04,Exercise_Distance,Activity_Exercise,145,0,0.0,0,False,Available
p04,Exercise_Calories,Activity_Exercise,145,0,0.0,0,False,Available
p04,Exercise_Avg_HR,Activity_Exercise,145,35,24.14,5,False,Available_With_Missing
p04,Sleep_Hours,Sleep,145,7,4.83,6,False,Available_Sleep_Exempt
p04,Sleep_Duration_Score,Sleep,145,10,6.9,6,False,Available_Sleep_Exempt
p04,Deep_Sleep_Minutes,Sleep,145,7,4.83,6,False,Available_Sleep_Exempt
p04,Sleep_Restlessness,Sleep,145,10,6.9,6,False,Available_Sleep_Exempt
p04,Sleep_Composition,Sleep,145,10,6.9,6,False,Available_Sleep_Exempt
p04,Sleep_Revitalization,Sleep,145,10,6.9,6,False,Available_Sleep_Exempt
p04,Sleep_Score,Sleep,145,10,6.9,6,False,Available_Sleep_Exempt
p05,Steps,Activity_Exercise,137,6,4.38,4,False,Available_With_Missing
p05,Exercise_Count,Activity_Exercise,137,0,0.0,0,False,Available
p05,Exercise_Duration,Activity_Exercise,137,0,0.0,0,False,Available
p05,Exercise_Distance,Activity_Exercise,137,0,0.0,0,False,Available
p05,Exercise_Calories,Activity_Exercise,137,0,0.0,0,False,Available
p05,Exercise_Avg_HR,Activity_Exercise,137,57,41.61,12,False,Available_With_Long_Missing_Streak
p05,Sleep_Hours,Sleep,137,29,21.17,10,False,Available_Sleep_Exempt
p05,Sleep_Duration_Score,Sleep,137,30,21.9,11,False,Available_Sleep_Exempt
p05,Deep_Sleep_Minutes,Sleep,137,29,21.17,10,False,Available_Sleep_Exempt
p05,Sleep_Restlessness,Sleep,137,30,21.9,11,False,Available_Sleep_Exempt
p05,Sleep_Composition,Sleep,137,30,21.9,11,False,Available_Sleep_Exempt
p05,Sleep_Revitalization,Sleep,137,30,21.9,11,False,Available_Sleep_Exempt
p05,Sleep_Score,Sleep,137,30,21.9,11,False,Available_Sleep_Exempt
p06,Steps,Activity_Exercise,147,0,0.0,0,False,Available
p06,Exercise_Count,Activity_Exercise,147,0,0.0,0,False,Available
p06,Exercise_Duration,Activity_Exercise,147,0,0.0,0,False,Available
p06,Exercise_Distance,Activity_Exercise,147,0,0.0,0,False,Available
p06,Exercise_Calories,Activity_Exercise,147,0,0.0,0,False,Available
p06,Exercise_Avg_HR,Activity_Exercise,147,59,40.14,4,False,Available_With_Missing
p06,Sleep_Hours,Sleep,147,1,0.68,1,False,Available_Sleep_Exempt
p06,Sleep_Duration_Score,Sleep,147,4,2.72,1,False,Available_Sleep_Exempt
p06,Deep_Sleep_Minutes,Sleep,147,1,0.68,1,False,Available_Sleep_Exempt
p06,Sleep_Restlessness,Sleep,147,4,2.72,1,False,Available_Sleep_Exempt
p06,Sleep_Composition,Sleep,147,4,2.72,1,False,Available_Sleep_Exempt
p06,Sleep_Revitalization,Sleep,147,4,2.72,1,False,Available_Sleep_Exempt
p06,Sleep_Score,Sleep,147,4,2.72,1,False,Available_Sleep_Exempt
p07,Steps,Activity_Exercise,133,0,0.0,0,False,Available
p07,Exercise_Count,Activity_Exercise,133,0,0.0,0,False,Available
p07,Exercise_Duration,Activity_Exercise,133,0,0.0,0,False,Available
p07,Exercise_Distance,Activity_Exercise,133,0,0.0,0,False,Available
p07,Exercise_Calories,Activity_Exercise,133,0,0.0,0,False,Available
p07,Exercise_Avg_HR,Activity_Exercise,133,20,15.04,3,False,Available_With_Missing
p07,Sleep_Hours,Sleep,133,5,3.76,1,False,Available_Sleep_Exempt
p07,Sleep_Duration_Score,Sleep,133,6,4.51,2,False,Available_Sleep_Exempt
p07,Deep_Sleep_Minutes,Sleep,133,5,3.76,1,False,Available_Sleep_Exempt
p07,Sleep_Restlessness,Sleep,133,6,4.51,2,False,Available_Sleep_Exempt
p07,Sleep_Composition,Sleep,133,6,4.51,2,False,Available_Sleep_Exempt
p07,Sleep_Revitalization,Sleep,133,6,4.51,2,False,Available_Sleep_Exempt
p07,Sleep_Score,Sleep,133,6,4.51,2,False,Available_Sleep_Exempt
p08,Steps,Activity_Exercise,104,3,2.88,3,False,Available_With_Missing
p08,Exercise_Count,Activity_Exercise,104,0,0.0,0,False,Available
p08,Exercise_Duration,Activity_Exercise,104,0,0.0,0,False,Available
p08,Exercise_Distance,Activity_Exercise,104,0,0.0,0,False,Available
p08,Exercise_Calories,Activity_Exercise,104,0,0.0,0,False,Available
p08,Exercise_Avg_HR,Activity_Exercise,104,12,11.54,4,False,Available_With_Missing
