Behavioral_Variable,Feature,Feature_Type
Steps,Steps_raw,Raw value
Steps,Steps_deviation,Deviation from baseline median
Steps,Steps_z,Personalized Z-score
Steps,Steps_abs_z,Absolute personalized Z-score
Steps,Steps_7d_mean,Previous 7-day mean
Steps,Steps_7d_std,Previous 7-day standard deviation
Steps,Steps_1d_change,One-day change
Exercise_Count,Exercise_Count_raw,Raw value
Exercise_Count,Exercise_Count_deviation,Deviation from baseline median
Exercise_Count,Exercise_Count_z,Personalized Z-score
Exercise_Count,Exercise_Count_abs_z,Absolute personalized Z-score
Exercise_Count,Exercise_Count_7d_mean,Previous 7-day mean
Exercise_Count,Exercise_Count_7d_std,Previous 7-day standard deviation
Exercise_Count,Exercise_Count_1d_change,One-day change
Exercise_Duration,Exercise_Duration_raw,Raw value
Exercise_Duration,Exercise_Duration_deviation,Deviation from baseline median
Exercise_Duration,Exercise_Duration_z,Personalized Z-score
Exercise_Duration,Exercise_Duration_abs_z,Absolute personalized Z-score
Exercise_Duration,Exercise_Duration_7d_mean,Previous 7-day mean
Exercise_Duration,Exercise_Duration_7d_std,Previous 7-day standard deviation
Exercise_Duration,Exercise_Duration_1d_change,One-day change
Exercise_Distance,Exercise_Distance_raw,Raw value
Exercise_Distance,Exercise_Distance_deviation,Deviation from baseline median
Exercise_Distance,Exercise_Distance_z,Personalized Z-score
Exercise_Distance,Exercise_Distance_abs_z,Absolute personalized Z-score
Exercise_Distance,Exercise_Distance_7d_mean,Previous 7-day mean
Exercise_Distance,Exercise_Distance_7d_std,Previous 7-day standard deviation
Exercise_Distance,Exercise_Distance_1d_change,One-day change
Exercise_Calories,Exercise_Calories_raw,Raw value
Exercise_Calories,Exercise_Calories_deviation,Deviation from baseline median
Exercise_Calories,Exercise_Calories_z,Personalized Z-score
Exercise_Calories,Exercise_Calories_abs_z,Absolute personalized Z-score
Exercise_Calories,Exercise_Calories_7d_mean,Previous 7-day mean
Exercise_Calories,Exercise_Calories_7d_std,Previous 7-day standard deviation
Exercise_Calories,Exercise_Calories_1d_change,One-day change
Exercise_Avg_HR,Exercise_Avg_HR_raw,Raw value
Exercise_Avg_HR,Exercise_Avg_HR_deviation,Deviation from baseline median
Exercise_Avg_HR,Exercise_Avg_HR_z,Personalized Z-score
Exercise_Avg_HR,Exercise_Avg_HR_abs_z,Absolute personalized Z-score
Exercise_Avg_HR,Exercise_Avg_HR_7d_mean,Previous 7-day mean
Exercise_Avg_HR,Exercise_Avg_HR_7d_std,Previous 7-day standard deviation
