Participant,Variable,Status
p01_daily_merged,Steps,Active
p01_daily_merged,Exercise_Count,Active
p01_daily_merged,Exercise_Duration,Active
p01_daily_merged,Exercise_Distance,Active
p01_daily_merged,Exercise_Calories,Active
p01_daily_merged,Exercise_Avg_HR,Active
p01_daily_merged,Sleep_Hours,Active
p01_daily_merged,Sleep_Duration_Score,Active
p01_daily_merged,Deep_Sleep_Minutes,Active
p01_daily_merged,Sleep_Restlessness,Active
p01_daily_merged,Sleep_Composition,Active
p01_daily_merged,Sleep_Revitalization,Active
p01_daily_merged,Sleep_Score,Active
p02_daily_merged,Steps,Active
p02_daily_merged,Exercise_Count,Active
p02_daily_merged,Exercise_Duration,Active
p02_daily_merged,Exercise_Distance,Active
p02_daily_merged,Exercise_Calories,Active
p02_daily_merged,Exercise_Avg_HR,Active
p02_daily_merged,Sleep_Hours,Active
p02_daily_merged,Sleep_Duration_Score,Active
p02_daily_merged,Deep_Sleep_Minutes,Active
p02_daily_merged,Sleep_Restlessness,Active
p02_daily_merged,Sleep_Composition,Active
p02_daily_merged,Sleep_Revitalization,Active
p02_daily_merged,Sleep_Score,Active
p03_daily_merged,Steps,Active
p03_daily_merged,Exercise_Count,Active
p03_daily_merged,Exercise_Duration,Active
p03_daily_merged,Exercise_Distance,Active
p03_daily_merged,Exercise_Calories,Active
p03_daily_merged,Exercise_Avg_HR,Active
p03_daily_merged,Sleep_Hours,Active
p03_daily_merged,Sleep_Duration_Score,Active
p03_daily_merged,Deep_Sleep_Minutes,Active
p03_daily_merged,Sleep_Restlessness,Active
p03_daily_merged,Sleep_Composition,Active
p03_daily_merged,Sleep_Revitalization,Active
p03_daily_merged,Sleep_Score,Active
p04_daily_merged,Steps,Active
p04_daily_merged,Exercise_Count,Active
p04_daily_merged,Exercise_Duration,Active
p04_daily_merged,Exercise_Distance,Active
p04_daily_merged,Exercise_Calories,Active
p04_daily_merged,Exercise_Avg_HR,Active
p04_daily_merged,Sleep_Hours,Active
p04_daily_merged,Sleep_Duration_Score,Active
p04_daily_merged,Deep_Sleep_Minutes,Active
p04_daily_merged,Sleep_Restlessness,Active
p04_daily_merged,Sleep_Composition,Active
p04_daily_merged,Sleep_Revitalization,Active
p04_daily_merged,Sleep_Score,Active
p05_daily_merged,Steps,Active
p05_daily_merged,Exercise_Count,Active
p05_daily_merged,Exercise_Duration,Active
p05_daily_merged,Exercise_Distance,Active
p05_daily_merged,Exercise_Calories,Active
p05_daily_merged,Exercise_Avg_HR,Active
p05_daily_merged,Sleep_Hours,Active
p05_daily_merged,Sleep_Duration_Score,Active
p05_daily_merged,Deep_Sleep_Minutes,Active
p05_daily_merged,Sleep_Restlessness,Active
p05_daily_merged,Sleep_Composition,Active
p05_daily_merged,Sleep_Revitalization,Active
p05_daily_merged,Sleep_Score,Active
p06_daily_merged,Steps,Active
p06_daily_merged,Exercise_Count,Active
p06_daily_merged,Exercise_Duration,Active
p06_daily_merged,Exercise_Distance,Active
p06_daily_merged,Exercise_Calories,Active
p06_daily_merged,Exercise_Avg_HR,Active
p06_daily_merged,Sleep_Hours,Active
p06_daily_merged,Sleep_Duration_Score,Active
p06_daily_merged,Deep_Sleep_Minutes,Active
p06_daily_merged,Sleep_Restlessness,Active
p06_daily_merged,Sleep_Composition,Active
p06_daily_merged,Sleep_Revitalization,Active
p06_daily_merged,Sleep_Score,Active
p07_daily_merged,Steps,Active
p07_daily_merged,Exercise_Count,Active
p07_daily_merged,Exercise_Duration,Active
p07_daily_merged,Exercise_Distance,Active
p07_daily_merged,Exercise_Calories,Active
p07_daily_merged,Exercise_Avg_HR,Active
p07_daily_merged,Sleep_Hours,Active
p07_daily_merged,Sleep_Duration_Score,Active
p07_daily_merged,Deep_Sleep_Minutes,Active
p07_daily_merged,Sleep_Restlessness,Active
p07_daily_merged,Sleep_Composition,Active
p07_daily_merged,Sleep_Revitalization,Active
p07_daily_merged,Sleep_Score,Active
p08_daily_merged,Steps,Active
p08_daily_merged,Exercise_Count,Active
p08_daily_merged,Exercise_Duration,Active
p08_daily_merged,Exercise_Distance,Active
p08_daily_merged,Exercise_Calories,Active
p08_daily_merged,Exercise_Avg_HR,Active
p08_daily_merged,Sleep_Hours,Active
p08_daily_merged,Sleep_Duration_Score,Active
p08_daily_merged,Deep_Sleep_Minutes,Active
p08_daily_merged,Sleep_Restlessness,Active
p08_daily_merged,Sleep_Composition,Active
p08_daily_merged,Sleep_Revitalization,Active
p08_daily_merged,Sleep_Score,Active
p09_daily_merged,Steps,Active
p09_daily_merged,Exercise_Count,Active
p09_daily_merged,Exercise_Duration,Active
p09_daily_merged,Exercise_Distance,Active
p09_daily_merged,Exercise_Calories,Active
p09_daily_merged,Exercise_Avg_HR,Active
p09_daily_merged,Sleep_Hours,Active
p09_daily_merged,Sleep_Duration_Score,Active
p09_daily_merged,Deep_Sleep_Minutes,Active
p09_daily_merged,Sleep_Restlessness,Active
p09_daily_merged,Sleep_Composition,Active
p09_daily_merged,Sleep_Revitalization,Active
p09_daily_merged,Sleep_Score,Active
p10_daily_merged,Steps,Active
p10_daily_merged,Exercise_Count,Active
p10_daily_merged,Exercise_Duration,Active
p10_daily_merged,Exercise_Distance,Active
p10_daily_merged,Exercise_Calories,Active
p10_daily_merged,Exercise_Avg_HR,Active
p10_daily_merged,Sleep_Hours,Active
p10_daily_merged,Sleep_Duration_Score,Active
p10_daily_merged,Deep_Sleep_Minutes,Active
p10_daily_merged,Sleep_Restlessness,Active
p10_daily_merged,Sleep_Composition,Active
p10_daily_merged,Sleep_Revitalization,Active
p10_daily_merged,Sleep_Score,Active
p11_daily_merged,Steps,Active
p11_daily_merged,Exercise_Count,Active
p11_daily_merged,Exercise_Duration,Active
p11_daily_merged,Exercise_Distance,Active
p11_daily_merged,Exercise_Calories,Active
p11_daily_merged,Exercise_Avg_HR,Active
p11_daily_merged,Sleep_Hours,Active
p11_daily_merged,Sleep_Duration_Score,Active
p11_daily_merged,Deep_Sleep_Minutes,Active
p11_daily_merged,Sleep_Restlessness,Active
p11_daily_merged,Sleep_Composition,Active
p11_daily_merged,Sleep_Revitalization,Active
p11_daily_merged,Sleep_Score,Active
p12_daily_merged,Steps,Active
p12_daily_merged,Exercise_Count,Active
p12_daily_merged,Exercise_Duration,Active
p12_daily_merged,Exercise_Distance,Active
p12_daily_merged,Exercise_Calories,Active
p12_daily_merged,Exercise_Avg_HR,Active
p12_daily_merged,Sleep_Hours,Active
p12_daily_merged,Sleep_Duration_Score,Active
p12_daily_merged,Deep_Sleep_Minutes,Active
p12_daily_merged,Sleep_Restlessness,Active
p12_daily_merged,Sleep_Composition,Active
p12_daily_merged,Sleep_Revitalization,Active
p12_daily_merged,Sleep_Score,Active
p13_daily_merged,Steps,Active
