Participant,Wellbeing,Target,N_Observations,N_Test_Predictions,MAE,RMSE,R2,N_Features
p01_daily_merged,fatigue,NextDayChange_fatigue,127,93,0.5869553937699099,0.7310992967195289,-0.03653452134756052,91
p01_daily_merged,mood,NextDayChange_mood,127,93,0.17551006759071278,0.37388625626246075,-0.083379727820178,91
p01_daily_merged,readiness,NextDayChange_readiness,127,93,1.054699130916873,1.3848843189480349,0.38916052860020856,91
p01_daily_merged,sleep_quality,NextDayChange_sleep_quality,127,93,0.487660657144528,0.6600723951605569,-0.23148070513449337,91
p01_daily_merged,stress,NextDayChange_stress,127,93,0.2251897564800791,0.3987932397346563,-0.14625231637848923,91
p02_daily_merged,fatigue,NextDayChange_fatigue,60,45,0.08951067821067821,0.12108974573610111,0.0,91
p02_daily_merged,mood,NextDayChange_mood,60,45,0.10240740740740739,0.29544473120624587,0.018014621527777774,91
p02_daily_merged,readiness,NextDayChange_readiness,60,45,0.9926296296296299,1.26885975285567,-0.12422767987735517,91
p02_daily_merged,sleep_quality,NextDayChange_sleep_quality,60,45,0.20213359788359786,0.382760744263082,-0.09879340511621337,91
p02_daily_merged,stress,NextDayChange_stress,60,45,0.09903333333333333,0.2877411972675068,0.06855628819444437,91
p03_daily_merged,fatigue,NextDayChange_fatigue,40,30,0.19531916324416326,0.34413539344286553,-0.19759833840526153,91
p03_daily_merged,mood,NextDayChange_mood,40,30,0.1,0.408248290463863,-0.06382978723404276,91
p03_daily_merged,readiness,NextDayChange_readiness,40,30,0.12044356476856476,0.4092978189493796,-0.011894188839242537,91
p03_daily_merged,sleep_quality,NextDayChange_sleep_quality,40,30,0.13658018278018277,0.27478033627236864,-0.13256349802933998,91
p03_daily_merged,stress,NextDayChange_stress,40,30,0.14201908276908276,0.3195718554647137,-0.13473523116844288,91
p04_daily_merged,fatigue,NextDayChange_fatigue,136,102,0.6073918975904269,0.8370573278210359,-0.13458651338408134,91
p04_daily_merged,mood,NextDayChange_mood,136,102,0.8070967077584723,1.004327515640391,-0.1561354836650488,91
p04_daily_merged,readiness,NextDayChange_readiness,136,102,1.1582529918338742,1.3835600530156953,-0.2280777286063671,91
