Behavioral_Variable,Mean_Importance,Mean_Relative_Importance,Participant_Target_Combinations,Participants,Wellbeing_Targets
Steps,0.1803274343832358,0.18032743438323634,80,16,5
Sleep_Restlessness,0.09701546936217367,0.09701546936217403,80,16,5
Sleep_Hours,0.09075816155113507,0.09075816155113539,80,16,5
Deep_Sleep_Minutes,0.08969946993449032,0.08969946993449066,80,16,5
Exercise_Avg_HR,0.08712782309158641,0.0871278230915867,80,16,5
Sleep_Score,0.08559502681811229,0.08559502681811261,80,16,5
Exercise_Calories,0.07732438807763382,0.07732438807763409,80,16,5
Exercise_Duration,0.06985234697979623,0.06985234697979645,80,16,5
Sleep_Duration_Score,0.0666732244102458,0.06667322441024606,80,16,5
Sleep_Revitalization,0.05521016727179948,0.05521016727179969,80,16,5
Sleep_Composition,0.03908794851211215,0.039087948512112294,80,16,5
Exercise_Distance,0.03637772874470395,0.036377728744704095,80,16,5
Exercise_Count,0.02495081086297149,0.024950810862971573,80,16,5
