Behavioral_Variable,Top3_Appearances,Participants,Wellbeing_Targets,Mean_Relative_Importance
Steps,50,16,5,0.24075276565111708
Sleep_Restlessness,28,13,5,0.15777578106474635
Sleep_Score,26,13,5,0.153080782916898
Exercise_Calories,26,13,5,0.12961169968837288
Deep_Sleep_Minutes,25,14,5,0.15968213374289006
Sleep_Hours,25,12,5,0.1539644241504762
Exercise_Avg_HR,15,9,5,0.2230826895904935
Exercise_Duration,15,9,5,0.14518637834825734
Sleep_Duration_Score,12,6,5,0.17249203516867642
Sleep_Revitalization,7,4,3,0.14484432121082955
Exercise_Distance,6,4,4,0.15587056005395192
Exercise_Count,3,3,3,0.10833506510546553
Sleep_Composition,2,2,1,0.1321571696603494
