Participant,Wellbeing,Behavioral_Variable,Importance,Relative_Importance,Feature_Representations,Rank
p01_daily_merged,fatigue,Exercise_Avg_HR,0.184474468685637,0.18447446868563785,7,1.0
p01_daily_merged,fatigue,Exercise_Calories,0.1401470546841347,0.14014705468413535,7,2.0
p01_daily_merged,fatigue,Sleep_Restlessness,0.1051880358077864,0.10518803580778689,7,3.0
p01_daily_merged,mood,Sleep_Restlessness,0.1358417732075824,0.13584177320758298,7,1.0
p01_daily_merged,mood,Deep_Sleep_Minutes,0.1150570719477149,0.11505707194771539,7,2.0
p01_daily_merged,mood,Sleep_Duration_Score,0.1046387610521898,0.10463876105219024,7,3.0
p01_daily_merged,readiness,Exercise_Avg_HR,0.414120703353612,0.41412070335361373,7,1.0
p01_daily_merged,readiness,Exercise_Calories,0.2318916085072675,0.2318916085072685,7,2.0
p01_daily_merged,readiness,Steps,0.053992692082231404,0.05399269208223163,7,3.0
p01_daily_merged,sleep_quality,Sleep_Hours,0.1227971452374066,0.12279714523740717,7,1.0
p01_daily_merged,sleep_quality,Steps,0.1213384771095227,0.12133847710952327,7,2.0
p01_daily_merged,sleep_quality,Sleep_Score,0.110367133068944,0.11036713306894452,7,3.0
p01_daily_merged,stress,Sleep_Restlessness,0.20078340301642422,0.20078340301642508,7,1.0
p01_daily_merged,stress,Steps,0.1331119323971823,0.13311193239718289,7,2.0
p01_daily_merged,stress,Exercise_Duration,0.11139728607597071,0.11139728607597117,7,3.0
p02_daily_merged,fatigue,Deep_Sleep_Minutes,0.2278403925471838,0.2278403925471848,7,1.0
p02_daily_merged,fatigue,Sleep_Duration_Score,0.18739996307117798,0.1873999630711788,7,2.0
p02_daily_merged,fatigue,Sleep_Restlessness,0.1032150175035134,0.10321501750351385,7,3.0
p02_daily_merged,mood,Exercise_Distance,0.2007399248210763,0.200739924821077,7,1.0
p02_daily_merged,mood,Steps,0.1223379459231387,0.12233794592313912,7,2.0
p02_daily_merged,mood,Sleep_Composition,0.1127642049704318,0.1127642049704322,7,3.0
p02_daily_merged,readiness,Steps,0.30815569442883517,0.3081556944288366,7,1.0
p02_daily_merged,readiness,Sleep_Hours,0.074136307192395,0.07413630719239535,7,2.0
p02_daily_merged,readiness,Sleep_Score,0.0736479466468927,0.07364794664689304,7,3.0
p02_daily_merged,sleep_quality,Steps,0.19678128342875778,0.1967812834287585,7,1.0
p02_daily_merged,sleep_quality,Exercise_Calories,0.171591118672421,0.17159111867242163,7,2.0
p02_daily_merged,sleep_quality,Deep_Sleep_Minutes,0.1383532980827454,0.1383532980827459,7,3.0
p02_daily_merged,stress,Steps,0.1697339760251095,0.16973397602511014,7,1.0
p02_daily_merged,stress,Exercise_Calories,0.15573731344763508,0.1557373134476357,7,2.0
p02_daily_merged,stress,Sleep_Hours,0.1385981347866534,0.13859813478665395,7,3.0
p03_daily_merged,fatigue,Exercise_Duration,0.2540912641916066,0.2540912641916073,7,1.0
p03_daily_merged,fatigue,Sleep_Hours,0.1845297089114269,0.18452970891142742,7,2.0
p03_daily_merged,fatigue,Exercise_Calories,0.1315055774963647,0.1315055774963651,7,3.0
p03_daily_merged,mood,Steps,0.239834706806896,0.2398347068068966,7,1.0
p03_daily_merged,mood,Sleep_Restlessness,0.155333832426657,0.1553338324266574,7,2.0
p03_daily_merged,mood,Sleep_Revitalization,0.1521297081108513,0.1521297081108517,7,3.0
p03_daily_merged,readiness,Exercise_Duration,0.2756343818138346,0.2756343818138351,7,1.0
p03_daily_merged,readiness,Exercise_Calories,0.205580765940494,0.20558076594049438,7,2.0
p03_daily_merged,readiness,Exercise_Count,0.0839712731311785,0.08397127313117866,7,3.0
p03_daily_merged,sleep_quality,Deep_Sleep_Minutes,0.46024018130532807,0.460240181305329,7,1.0
p03_daily_merged,sleep_quality,Sleep_Hours,0.15151379631514508,0.1515137963151454,7,2.0
p03_daily_merged,sleep_quality,Exercise_Duration,0.0903041519753907,0.09030415197539088,7,3.0
p03_daily_merged,stress,Steps,0.30666069166887827,0.3066606916688791,7,1.0
p03_daily_merged,stress,Deep_Sleep_Minutes,0.1391395724841737,0.13913957248417408,7,2.0
p03_daily_merged,stress,Exercise_Avg_HR,0.1283584728649198,0.12835847286492014,7,3.0
p04_daily_merged,fatigue,Sleep_Hours,0.1468600886171233,0.14686008861712394,7,1.0
p04_daily_merged,fatigue,Sleep_Duration_Score,0.1166488375966063,0.1166488375966068,7,2.0
p04_daily_merged,fatigue,Exercise_Calories,0.1079157308018943,0.10791573080189477,7,3.0
p04_daily_merged,mood,Deep_Sleep_Minutes,0.1352361738850828,0.1352361738850834,7,1.0
p04_daily_merged,mood,Exercise_Duration,0.1187369067889838,0.11873690678898431,7,2.0
p04_daily_merged,mood,Exercise_Calories,0.107812142768503,0.10781214276850348,7,3.0
p04_daily_merged,readiness,Steps,0.1254171318730173,0.1254171318730179,7,1.0
p04_daily_merged,readiness,Sleep_Duration_Score,0.1085362033548534,0.10853620335485392,7,2.0
p04_daily_merged,readiness,Deep_Sleep_Minutes,0.1025972733717434,0.10259727337174389,7,3.0
p04_daily_merged,sleep_quality,Sleep_Score,0.1526815862340301,0.15268158623403072,7,1.0
p04_daily_merged,sleep_quality,Sleep_Hours,0.11267006783653621,0.11267006783653666,7,2.0
p04_daily_merged,sleep_quality,Deep_Sleep_Minutes,0.1064232683340236,0.10642326833402402,7,3.0
p04_daily_merged,stress,Deep_Sleep_Minutes,0.11883526317563539,0.11883526317563589,7,1.0
p04_daily_merged,stress,Exercise_Duration,0.1163833806903591,0.11638338069035958,7,2.0
p04_daily_merged,stress,Exercise_Calories,0.115464973818066,0.11546497381806647,7,3.0
p05_daily_merged,fatigue,Sleep_Restlessness,0.1560360184024049,0.15603601840240552,7,1.0
p05_daily_merged,fatigue,Steps,0.1522581722725081,0.15225817227250868,7,2.0
p05_daily_merged,fatigue,Exercise_Duration,0.1027476484167261,0.1027476484167265,7,3.0
p05_daily_merged,mood,Steps,0.1585603316213493,0.15856033162134997,7,1.0
p05_daily_merged,mood,Sleep_Hours,0.1098792798271216,0.10987927982712206,7,2.0
p05_daily_merged,mood,Sleep_Restlessness,0.0961407585807442,0.09614075858074461,7,3.0
