Participant,Behavioral_Variable,Wellbeing_Variable,r,p,N,Included
p01,Steps,fatigue,0.10307242931078298,0.3993457196629012,69,Yes
p01,Steps,mood,0.07170345638031406,0.5582203835599082,69,Yes
p01,Steps,readiness,-0.05921788825526925,0.6288552002128172,69,Yes
p01,Steps,sleep_quality,0.12442025435407848,0.3083949081261534,69,Yes
p01,Steps,stress,0.15112841066590668,0.21513565694690437,69,Yes
p01,Exercise_Count,fatigue,0.04360145058936725,0.7220401773206392,69,Yes
p01,Exercise_Count,mood,0.0011746770185007418,0.9923569095103301,69,Yes
p01,Exercise_Count,readiness,0.11527395458890297,0.3455819815028785,69,Yes
p01,Exercise_Count,sleep_quality,-0.02837925026750511,0.8169452392051549,69,Yes
p01,Exercise_Count,stress,-0.09359333286912928,0.4443174883451831,69,Yes
p01,Exercise_Duration,fatigue,0.05415224232678573,0.6585405254009795,69,Yes
p01,Exercise_Duration,mood,-0.033563419603409944,0.784251774598713,69,Yes
p01,Exercise_Duration,readiness,0.12377234819737104,0.31094065483353417,69,Yes
p01,Exercise_Duration,sleep_quality,0.07779374844110147,0.5251923619622664,69,Yes
p01,Exercise_Duration,stress,-0.10329269873272856,0.3983335978915218,69,Yes
p01,Exercise_Distance,fatigue,0.30862442145011804,0.009876930143220906,69,Yes
p01,Exercise_Distance,mood,0.028098031864617522,0.8187281964432515,69,Yes
p01,Exercise_Distance,readiness,0.33189065338600887,0.005336868334183796,69,Yes
p01,Exercise_Distance,sleep_quality,0.15541862247332558,0.2022442676204363,69,Yes
p01,Exercise_Distance,stress,0.04725621739491936,0.6998048489687053,69,Yes
p01,Exercise_Calories,fatigue,0.11375933968456227,0.3519990255724227,69,Yes
p01,Exercise_Calories,mood,-0.02800590061784303,0.8193125189991411,69,Yes
p01,Exercise_Calories,readiness,0.1823544964449924,0.1336965091027298,69,Yes
p01,Exercise_Calories,sleep_quality,0.12000671716782527,0.32600393554737644,69,Yes
p01,Exercise_Calories,stress,-0.09292396627322136,0.44759637937037877,69,Yes
p01,Exercise_Avg_HR,fatigue,0.3339445590123489,0.02035817315943421,48,Yes
p01,Exercise_Avg_HR,mood,-0.0038889003306172426,0.9790715282719893,48,Yes
p01,Exercise_Avg_HR,readiness,0.42172542285779013,0.002832037554333703,48,Yes
p01,Exercise_Avg_HR,sleep_quality,0.20169482133962674,0.16921712186467164,48,Yes
p01,Exercise_Avg_HR,stress,0.03682931765041349,0.8037326485626122,48,Yes
p01,Sleep_Hours,fatigue,0.003077409892204535,0.9799784446890244,69,Yes
p01,Sleep_Hours,mood,0.07817825467116442,0.5231404630314314,69,Yes
p01,Sleep_Hours,readiness,-0.12079806653920562,0.32280052643692064,69,Yes
p01,Sleep_Hours,sleep_quality,-0.005791797773187274,0.9623285264701011,69,Yes
p01,Sleep_Hours,stress,-0.10826329226153535,0.3758979326695782,69,Yes
p01,Sleep_Duration_Score,fatigue,0.08073308889953934,0.509609631581428,69,Yes
p01,Sleep_Duration_Score,mood,0.11987906489370156,0.3265225616752431,69,Yes
p01,Sleep_Duration_Score,readiness,0.0645910929783746,0.5979969497776929,69,Yes
p01,Sleep_Duration_Score,sleep_quality,0.21703858999815234,0.07323860687159828,69,Yes
p01,Sleep_Duration_Score,stress,-0.20143570873866407,0.09696610346390251,69,Yes
p01,Deep_Sleep_Minutes,fatigue,-0.11496144094440422,0.3469000198988601,69,Yes
p01,Deep_Sleep_Minutes,mood,-0.08634205623558225,0.48054432077596315,69,Yes
p01,Deep_Sleep_Minutes,readiness,-0.20012181484024844,0.0992107411893853,69,Yes
p01,Deep_Sleep_Minutes,sleep_quality,-0.11796391535724239,0.33436627221929127,69,Yes
p01,Deep_Sleep_Minutes,stress,-0.022496439333170762,0.854422390718086,69,Yes
p01,Sleep_Restlessness,fatigue,-0.04772049857265477,0.6969976606746272,69,Yes
p01,Sleep_Restlessness,mood,-0.015329142521089122,0.9005120754140361,69,Yes
p01,Sleep_Restlessness,readiness,-0.1609902391316651,0.18633695807327003,69,Yes
p01,Sleep_Restlessness,sleep_quality,-0.11182169646153546,0.36031506812121705,69,Yes
p01,Sleep_Restlessness,stress,0.21271267567020147,0.07929572794279899,69,Yes
p01,Sleep_Composition,fatigue,-0.2512803450972714,0.037278279376038594,69,Yes
p01,Sleep_Composition,mood,-0.16708877619854312,0.1699837132264356,69,Yes
p01,Sleep_Composition,readiness,-0.1073679805572511,0.3798817482945671,69,Yes
p01,Sleep_Composition,sleep_quality,-0.23338073968766312,0.05361527403523715,69,Yes
p01,Sleep_Composition,stress,-0.21323152844859852,0.07854887970040181,69,Yes
p01,Sleep_Revitalization,fatigue,0.28481505162126225,0.017692817319080803,69,Yes
p01,Sleep_Revitalization,mood,-0.07941475717420911,0.5165693048092697,69,Yes
p01,Sleep_Revitalization,readiness,0.28047755752719533,0.019578686959944566,69,Yes
p01,Sleep_Revitalization,sleep_quality,0.02347059802153493,0.8481918208706118,69,Yes
p01,Sleep_Revitalization,stress,-0.09701458417853916,0.4277693206027445,69,Yes
p01,Sleep_Score,fatigue,0.0835809472609641,0.49474080318356095,69,Yes
p01,Sleep_Score,mood,-0.05077952890608283,0.6786045967063382,69,Yes
p01,Sleep_Score,readiness,0.13830875442671525,0.2570685139744365,69,Yes
p01,Sleep_Score,sleep_quality,0.029777819328743606,0.8080920656869679,69,Yes
p01,Sleep_Score,stress,-0.26618221168921163,0.027054430869474906,69,Yes
p02,Steps,fatigue,0.03138040334860274,0.8287275170160282,50,Yes
p02,Steps,mood,0.2453795545439092,0.08587354716055434,50,Yes
p02,Steps,readiness,0.553478565900745,3.059230299184328e-05,50,Yes
p02,Steps,sleep_quality,-0.05076372181570072,0.726263192212719,50,Yes
p02,Steps,stress,0.20416529025851887,0.15497339908503077,50,Yes
p02,Exercise_Count,fatigue,0.13891160688408377,0.3360071751985249,50,Yes
p02,Exercise_Count,mood,0.13344918663528677,0.3555369720557434,50,Yes
p02,Exercise_Count,readiness,0.26607049957343704,0.061812545390984,50,Yes
p02,Exercise_Count,sleep_quality,0.10659459708621413,0.4612583037414295,50,Yes
p02,Exercise_Count,stress,0.07718919099346543,0.5941713927701249,50,Yes
p02,Exercise_Duration,fatigue,0.028971156460666,0.8417015757692713,50,Yes
p02,Exercise_Duration,mood,0.08961438663680503,0.5359892994058326,50,Yes
p02,Exercise_Duration,readiness,0.48860167192525605,0.0003181568332435508,50,Yes
p02,Exercise_Duration,sleep_quality,0.08360430745364711,0.5637831588335739,50,Yes
p02,Exercise_Duration,stress,0.06697894983303941,0.6439714226398727,50,Yes
p02,Exercise_Distance,fatigue,0.06181362452771467,0.6697862942960016,50,Yes
