Participant,Behavioral_Variable,Wellbeing_Variable,r,p,N,Included
p01,Steps,fatigue,-0.0036148026078784354,0.9777548190500743,62,Yes
p01,Steps,mood,0.2752060638233265,0.030397853811008905,62,Yes
p01,Steps,readiness,-0.35118163406460046,0.005131322967749997,62,Yes
p01,Steps,sleep_quality,0.03867106133639289,0.7653894381810344,62,Yes
p01,Steps,stress,0.430575386499875,0.00047718246298803955,62,Yes
p01,Exercise_Count,fatigue,-0.05552048649951166,0.6682123157368092,62,Yes
p01,Exercise_Count,mood,0.004028279314923664,0.9752110765538506,62,Yes
p01,Exercise_Count,readiness,0.07980410859709247,0.5375153005371532,62,Yes
p01,Exercise_Count,sleep_quality,-0.1460172325559112,0.25745599269963104,62,Yes
p01,Exercise_Count,stress,-0.11511014685777611,0.37298340350987624,62,Yes
p01,Exercise_Duration,fatigue,-0.0927681419301245,0.47328759579901114,62,Yes
p01,Exercise_Duration,mood,0.1896456444475176,0.1398591014491791,62,Yes
p01,Exercise_Duration,readiness,0.028751761511808527,0.8244461302131132,62,Yes
p01,Exercise_Duration,sleep_quality,-0.06847111959194654,0.5969502224115423,62,Yes
p01,Exercise_Duration,stress,0.14958143943685548,0.24589487519237047,62,Yes
p01,Exercise_Distance,fatigue,-0.22226637198908744,0.08251049448449643,62,Yes
p01,Exercise_Distance,mood,0.011984979555177336,0.9263384605308318,62,Yes
p01,Exercise_Distance,readiness,-0.3038429112777757,0.01635779639544871,62,Yes
p01,Exercise_Distance,sleep_quality,-0.1926481512527436,0.1335797375742905,62,Yes
p01,Exercise_Distance,stress,0.09675476937915568,0.4543991112680683,62,Yes
p01,Exercise_Calories,fatigue,-0.11165653080312352,0.38758883573434266,62,Yes
p01,Exercise_Calories,mood,0.20589292295244294,0.10839201269540014,62,Yes
p01,Exercise_Calories,readiness,-0.10613873151740551,0.41161663893315986,62,Yes
p01,Exercise_Calories,sleep_quality,-0.10828040640086145,0.4021899447789622,62,Yes
p01,Exercise_Calories,stress,0.2088704361449589,0.10327016567041847,62,Yes
p01,Exercise_Avg_HR,fatigue,,,1,No
p01,Exercise_Avg_HR,mood,,,1,No
p01,Exercise_Avg_HR,readiness,,,1,No
p01,Exercise_Avg_HR,sleep_quality,,,1,No
p01,Exercise_Avg_HR,stress,,,1,No
p01,Sleep_Hours,fatigue,0.16110132809168118,0.21097568176378478,62,Yes
p01,Sleep_Hours,mood,-0.17334813047313477,0.1778538378988756,62,Yes
p01,Sleep_Hours,readiness,0.35527812580543733,0.0046025331652509525,62,Yes
p01,Sleep_Hours,sleep_quality,-0.06525775171865641,0.614317187286912,62,Yes
p01,Sleep_Hours,stress,-0.18192335941992602,0.15702339264776788,62,Yes
p01,Sleep_Duration_Score,fatigue,0.02356631567004531,0.8557316821649005,62,Yes
