Participant,Behavioral Variable,Well-being Variable,Pearson r,p-value,N,FDR q-value
p02,Exercise_Calories,readiness,0.545,4.2e-05,50,0.003284
p02,Exercise_Distance,readiness,0.492,0.000282,50,0.011136
p02,Exercise_Duration,readiness,0.489,0.000318,50,0.011899
p02,Steps,readiness,0.553,3.1e-05,50,0.00286
p04,Steps,mood,0.434,9.9e-05,75,0.00487
p06,Exercise_Distance,readiness,0.41,0.000286,74,0.011136
p06,Sleep_Duration_Score,stress,0.356,0.002024,73,0.044237
p06,Steps,readiness,0.381,0.000808,74,0.022894
p07,Deep_Sleep_Minutes,stress,0.413,0.000519,67,0.016737
p07,Sleep_Composition,sleep_quality,0.402,0.000751,67,0.022638
p07,Sleep_Composition,stress,0.389,0.001143,67,0.030186
p07,Sleep_Duration_Score,sleep_quality,0.478,4.3e-05,67,0.003284
p07,Sleep_Score,sleep_quality,0.431,0.000273,67,0.011136
p08,Exercise_Calories,readiness,0.514,7.1e-05,54,0.004132
p08,Exercise_Distance,readiness,0.515,6.8e-05,54,0.004132
p08,Exercise_Distance,stress,0.411,0.002008,54,0.044237
p08,Exercise_Duration,readiness,0.436,0.00098,54,0.02695
p08,Sleep_Composition,sleep_quality,0.46,0.000608,52,0.018939
p08,Sleep_Duration_Score,mood,0.515,9.4e-05,52,0.00487
p08,Sleep_Restlessness,readiness,-0.66,0.0,52,4.9e-05
p08,Sleep_Revitalization,readiness,0.49,0.000224,52,0.010485
p08,Sleep_Revitalization,sleep_quality,0.475,0.000368,52,0.012728
p08,Sleep_Score,mood,0.487,0.000249,52,0.011082
p08,Sleep_Score,sleep_quality,0.526,6.2e-05,52,0.004132
p08,Steps,fatigue,0.469,0.000344,54,0.012367
p08,Steps,readiness,0.693,0.0,54,6e-06
p09,Sleep_Duration_Score,fatigue,0.606,1e-05,45,0.001941
p09,Sleep_Duration_Score,sleep_quality,0.455,0.001666,45,0.039944
p09,Sleep_Hours,fatigue,0.64,2e-06,45,0.000691
p09,Sleep_Hours,sleep_quality,0.469,0.001162,45,0.030186
p09,Sleep_Score,fatigue,0.593,1.8e-05,45,0.002225
p10,Sleep_Duration_Score,fatigue,0.606,2.1e-05,42,0.002225
p10,Sleep_Duration_Score,sleep_quality,0.635,6e-06,42,0.001443
p10,Sleep_Score,fatigue,0.498,0.000797,42,0.022894
p10,Sleep_Score,sleep_quality,0.586,4.6e-05,42,0.003284
p11,Deep_Sleep_Minutes,fatigue,0.408,0.002177,54,0.046271
p11,Exercise_Calories,readiness,0.505,9.7e-05,54,0.00487
p11,Exercise_Count,readiness,0.544,2.1e-05,54,0.002225
p11,Exercise_Duration,readiness,0.411,0.002034,54,0.044237
p14,Sleep_Composition,sleep_quality,0.453,0.001785,45,0.041729
p16,Deep_Sleep_Minutes,fatigue,0.482,0.001628,40,0.039944
p16,Sleep_Duration_Score,fatigue,0.624,1.7e-05,40,0.002225
p16,Sleep_Score,fatigue,0.53,0.00044,40,0.014683
p16,Sleep_Score,sleep_quality,0.49,0.001326,40,0.033515
