Participant,Behavioral_Variable,Wellness_Variable,Same_Day,One_Day_Lagged,Previous_7_Days,Number_of_Analyses
p01,|,Exercise_Avg_HR | readiness,False,False,True,1
p01,|,Exercise_Calories | readiness,False,True,False,1
p01,|,Exercise_Distance | readiness,False,True,True,2
p01,|,Exercise_Distance | sleep_quality,False,False,True,1
p01,|,Exercise_Duration | readiness,False,True,False,1
p01,|,Sleep_Hours | mood,False,False,True,1
p01,|,Steps | readiness,False,True,False,1
p01,|,Steps | stress,False,False,True,1
p02,|,Deep_Sleep_Minutes | readiness,False,False,True,1
p02,|,Exercise_Calories | readiness,True,False,False,1
p02,|,Exercise_Calories | sleep_quality,False,False,True,1
p02,|,Exercise_Count | sleep_quality,False,False,True,1
p02,|,Exercise_Distance | readiness,True,False,False,1
p02,|,Exercise_Duration | readiness,True,False,True,2
p02,|,Exercise_Duration | sleep_quality,False,False,True,1
p02,|,Steps | readiness,True,False,False,1
p02,|,Steps | sleep_quality,False,False,True,1
p03,|,Exercise_Avg_HR | stress,False,False,True,1
p03,|,Exercise_Distance | stress,False,False,True,1
p03,|,Steps | readiness,False,False,True,1
p04,|,Steps | mood,True,False,False,1
p05,|,Exercise_Avg_HR | mood,False,False,True,1
p05,|,Sleep_Composition | readiness,False,False,True,1
p05,|,Sleep_Duration_Score | mood,False,False,True,1
p05,|,Sleep_Duration_Score | readiness,False,False,True,1
p05,|,Sleep_Restlessness | mood,False,False,True,1
p05,|,Sleep_Restlessness | readiness,False,False,True,1
p05,|,Sleep_Score | readiness,False,False,True,1
p06,|,Exercise_Avg_HR | stress,False,False,True,1
p06,|,Exercise_Calories | stress,False,False,True,1
p06,|,Exercise_Count | stress,False,False,True,1
p06,|,Exercise_Distance | readiness,True,False,False,1
p06,|,Exercise_Distance | stress,False,False,True,1
p06,|,Exercise_Duration | stress,False,False,True,1
p06,|,Sleep_Duration_Score | stress,True,False,False,1
p06,|,Steps | readiness,True,False,False,1
p07,|,Deep_Sleep_Minutes | stress,True,False,False,1
p07,|,Sleep_Composition | sleep_quality,True,False,False,1
p07,|,Sleep_Composition | stress,True,False,False,1
p07,|,Sleep_Duration_Score | sleep_quality,True,False,False,1
p07,|,Sleep_Score | sleep_quality,True,False,False,1
p08,|,Exercise_Calories | readiness,True,False,False,1
p08,|,Exercise_Distance | readiness,True,False,False,1
p08,|,Exercise_Distance | stress,True,False,False,1
p08,|,Exercise_Duration | readiness,True,False,False,1
p08,|,Sleep_Composition | sleep_quality,True,False,False,1
p08,|,Sleep_Duration_Score | mood,True,False,False,1
p08,|,Sleep_Restlessness | readiness,True,False,False,1
p08,|,Sleep_Revitalization | readiness,True,False,False,1
p08,|,Sleep_Revitalization | sleep_quality,True,False,False,1
p08,|,Sleep_Score | mood,True,False,False,1
p08,|,Sleep_Score | sleep_quality,True,False,False,1
p08,|,Steps | fatigue,True,False,False,1
p08,|,Steps | readiness,True,False,True,2
p09,|,Sleep_Duration_Score | fatigue,True,False,False,1
p09,|,Sleep_Duration_Score | sleep_quality,True,False,False,1
p09,|,Sleep_Hours | fatigue,True,False,False,1
p09,|,Sleep_Hours | sleep_quality,True,False,False,1
p09,|,Sleep_Score | fatigue,True,False,False,1
p10,|,Exercise_Count | mood,False,False,True,1
p10,|,Sleep_Duration_Score | fatigue,True,False,False,1
p10,|,Sleep_Duration_Score | sleep_quality,True,False,False,1
p10,|,Sleep_Score | fatigue,True,False,False,1
p10,|,Sleep_Score | sleep_quality,True,False,False,1
p11,|,Deep_Sleep_Minutes | fatigue,True,False,False,1
p11,|,Deep_Sleep_Minutes | stress,False,False,True,1
p11,|,Exercise_Calories | readiness,True,False,False,1
p11,|,Exercise_Count | readiness,True,False,False,1
p11,|,Exercise_Duration | readiness,True,False,False,1
p12,|,Exercise_Distance | stress,False,False,True,1
p13,|,Exercise_Count | fatigue,False,False,True,1
p13,|,Exercise_Count | sleep_quality,False,False,True,1
p13,|,Exercise_Count | stress,False,False,True,1
p13,|,Exercise_Duration | fatigue,False,False,True,1
p13,|,Steps | fatigue,False,False,True,1
p13,|,Steps | readiness,False,False,True,1
p14,|,Exercise_Distance | mood,False,False,True,1
p14,|,Exercise_Distance | readiness,False,False,True,1
p14,|,Sleep_Composition | sleep_quality,True,False,False,1
p14,|,Sleep_Restlessness | readiness,False,False,True,1
p14,|,Sleep_Revitalization | fatigue,False,False,True,1
p14,|,Sleep_Revitalization | mood,False,False,True,1
p14,|,Sleep_Score | mood,False,False,True,1
p16,|,Deep_Sleep_Minutes | fatigue,True,False,False,1
p16,|,Sleep_Duration_Score | fatigue,True,False,False,1
p16,|,Sleep_Score | fatigue,True,False,False,1
p16,|,Sleep_Score | sleep_quality,True,False,False,1
