Participant,Behavioral_Variable,Wellness_Variable,r,p,N,Included,p_FDR,Significant_raw,Significant_FDR
p01,Steps,fatigue,,,9,No,,False,False
p01,Steps,mood,,,9,No,,False,False
p01,Steps,readiness,,,9,No,,False,False
p01,Steps,sleep_quality,,,9,No,,False,False
p01,Steps,stress,,,9,No,,False,False
p01,Exercise_Count,fatigue,,,1,No,,False,False
p01,Exercise_Count,mood,,,1,No,,False,False
p01,Exercise_Count,readiness,,,1,No,,False,False
p01,Exercise_Count,sleep_quality,,,1,No,,False,False
p01,Exercise_Count,stress,,,1,No,,False,False
p01,Exercise_Duration,fatigue,,,1,No,,False,False
p01,Exercise_Duration,mood,,,1,No,,False,False
p01,Exercise_Duration,readiness,,,1,No,,False,False
p01,Exercise_Duration,sleep_quality,,,1,No,,False,False
p01,Exercise_Duration,stress,,,1,No,,False,False
p01,Exercise_Distance,fatigue,,,8,No,,False,False
p01,Exercise_Distance,mood,,,8,No,,False,False
p01,Exercise_Distance,readiness,,,8,No,,False,False
p01,Exercise_Distance,sleep_quality,,,8,No,,False,False
p01,Exercise_Distance,stress,,,8,No,,False,False
p01,Exercise_Calories,fatigue,,,3,No,,False,False
p01,Exercise_Calories,mood,,,3,No,,False,False
p01,Exercise_Calories,readiness,,,3,No,,False,False
p01,Exercise_Calories,sleep_quality,,,3,No,,False,False
p01,Exercise_Calories,stress,,,3,No,,False,False
p01,Exercise_Avg_HR,fatigue,,,6,No,,False,False
p01,Exercise_Avg_HR,mood,,,6,No,,False,False
p01,Exercise_Avg_HR,readiness,,,6,No,,False,False
p01,Exercise_Avg_HR,sleep_quality,,,6,No,,False,False
p01,Exercise_Avg_HR,stress,,,6,No,,False,False
p01,Sleep_Hours,fatigue,,,2,No,,False,False
p01,Sleep_Hours,mood,,,2,No,,False,False
p01,Sleep_Hours,readiness,,,2,No,,False,False
p01,Sleep_Hours,sleep_quality,,,2,No,,False,False
p01,Sleep_Hours,stress,,,2,No,,False,False
p01,Sleep_Duration_Score,fatigue,,,3,No,,False,False
p01,Sleep_Duration_Score,mood,,,3,No,,False,False
p01,Sleep_Duration_Score,readiness,,,3,No,,False,False
p01,Sleep_Duration_Score,sleep_quality,,,3,No,,False,False
p01,Sleep_Duration_Score,stress,,,3,No,,False,False
p01,Deep_Sleep_Minutes,fatigue,,,2,No,,False,False
p01,Deep_Sleep_Minutes,mood,,,2,No,,False,False
p01,Deep_Sleep_Minutes,readiness,,,2,No,,False,False
p01,Deep_Sleep_Minutes,sleep_quality,,,2,No,,False,False
p01,Deep_Sleep_Minutes,stress,,,2,No,,False,False
p01,Sleep_Restlessness,fatigue,,,1,No,,False,False
p01,Sleep_Restlessness,mood,,,1,No,,False,False
p01,Sleep_Restlessness,readiness,,,1,No,,False,False
p01,Sleep_Restlessness,sleep_quality,,,1,No,,False,False
p01,Sleep_Restlessness,stress,,,1,No,,False,False
p01,Sleep_Composition,fatigue,,,5,No,,False,False
p01,Sleep_Composition,mood,,,5,No,,False,False
p01,Sleep_Composition,readiness,,,5,No,,False,False
p01,Sleep_Composition,sleep_quality,,,5,No,,False,False
p01,Sleep_Composition,stress,,,5,No,,False,False
p01,Sleep_Score,fatigue,,,4,No,,False,False
p01,Sleep_Score,mood,,,4,No,,False,False
p01,Sleep_Score,readiness,,,4,No,,False,False
p01,Sleep_Score,sleep_quality,,,4,No,,False,False
p01,Sleep_Score,stress,,,4,No,,False,False
p02,Steps,fatigue,,,1,No,,False,False
p02,Steps,mood,,,1,No,,False,False
p02,Steps,readiness,,,1,No,,False,False
p02,Steps,sleep_quality,,,1,No,,False,False
p02,Steps,stress,,,1,No,,False,False
p02,Exercise_Count,fatigue,,,1,No,,False,False
p02,Exercise_Count,mood,,,1,No,,False,False
p02,Exercise_Count,readiness,,,1,No,,False,False
p02,Exercise_Count,sleep_quality,,,1,No,,False,False
p02,Exercise_Count,stress,,,1,No,,False,False
p02,Exercise_Distance,fatigue,,,1,No,,False,False
p02,Exercise_Distance,mood,,,1,No,,False,False
p02,Exercise_Distance,readiness,,,1,No,,False,False
p02,Exercise_Distance,sleep_quality,,,1,No,,False,False
p02,Exercise_Distance,stress,,,1,No,,False,False
p02,Exercise_Calories,fatigue,,,2,No,,False,False
p02,Exercise_Calories,mood,,,2,No,,False,False
p02,Exercise_Calories,readiness,,,2,No,,False,False
p02,Exercise_Calories,sleep_quality,,,2,No,,False,False
p02,Exercise_Calories,stress,,,2,No,,False,False
p02,Exercise_Avg_HR,fatigue,,,6,No,,False,False
p02,Exercise_Avg_HR,mood,,,6,No,,False,False
p02,Exercise_Avg_HR,readiness,,,6,No,,False,False
p02,Exercise_Avg_HR,sleep_quality,,,6,No,,False,False
p02,Exercise_Avg_HR,stress,,,6,No,,False,False
p02,Sleep_Hours,fatigue,,,3,No,,False,False
p02,Sleep_Hours,mood,,,3,No,,False,False
p02,Sleep_Hours,readiness,,,3,No,,False,False
p02,Sleep_Hours,sleep_quality,,,3,No,,False,False
p02,Sleep_Hours,stress,,,3,No,,False,False
p02,Sleep_Duration_Score,fatigue,,,2,No,,False,False
p02,Sleep_Duration_Score,mood,,,2,No,,False,False
p02,Sleep_Duration_Score,readiness,,,2,No,,False,False
p02,Sleep_Duration_Score,sleep_quality,,,2,No,,False,False
p02,Sleep_Duration_Score,stress,,,2,No,,False,False
p02,Deep_Sleep_Minutes,fatigue,,,2,No,,False,False
p02,Deep_Sleep_Minutes,mood,,,2,No,,False,False
p02,Deep_Sleep_Minutes,readiness,,,2,No,,False,False
p02,Deep_Sleep_Minutes,sleep_quality,,,2,No,,False,False
p02,Deep_Sleep_Minutes,stress,,,2,No,,False,False
p02,Sleep_Composition,fatigue,,,4,No,,False,False
p02,Sleep_Composition,mood,,,4,No,,False,False
p02,Sleep_Composition,readiness,,,4,No,,False,False
p02,Sleep_Composition,sleep_quality,,,4,No,,False,False
p02,Sleep_Composition,stress,,,4,No,,False,False
p02,Sleep_Score,fatigue,,,1,No,,False,False
p02,Sleep_Score,mood,,,1,No,,False,False
p02,Sleep_Score,readiness,,,1,No,,False,False
p02,Sleep_Score,sleep_quality,,,1,No,,False,False
p02,Sleep_Score,stress,,,1,No,,False,False
p03,Steps,fatigue,,,2,No,,False,False
p03,Steps,mood,,,2,No,,False,False
p03,Steps,readiness,,,2,No,,False,False
p03,Steps,sleep_quality,,,2,No,,False,False
p03,Steps,stress,,,2,No,,False,False
p03,Exercise_Count,fatigue,,,6,No,,False,False
p03,Exercise_Count,mood,,,6,No,,False,False
p03,Exercise_Count,readiness,,,6,No,,False,False
p03,Exercise_Count,sleep_quality,,,6,No,,False,False
p03,Exercise_Count,stress,,,6,No,,False,False
p03,Exercise_Duration,fatigue,,,9,No,,False,False
p03,Exercise_Duration,mood,,,9,No,,False,False
p03,Exercise_Duration,readiness,,,9,No,,False,False
p03,Exercise_Duration,sleep_quality,,,9,No,,False,False
p03,Exercise_Duration,stress,,,9,No,,False,False
p03,Exercise_Calories,fatigue,,,8,No,,False,False
p03,Exercise_Calories,mood,,,8,No,,False,False
p03,Exercise_Calories,readiness,,,8,No,,False,False
p03,Exercise_Calories,sleep_quality,,,8,No,,False,False
p03,Exercise_Calories,stress,,,8,No,,False,False
p03,Sleep_Hours,fatigue,,,1,No,,False,False
p03,Sleep_Hours,mood,,,1,No,,False,False
p03,Sleep_Hours,readiness,,,1,No,,False,False
p03,Sleep_Hours,sleep_quality,,,1,No,,False,False
p03,Sleep_Hours,stress,,,1,No,,False,False
p03,Sleep_Restlessness,fatigue,,,5,No,,False,False
p03,Sleep_Restlessness,mood,,,5,No,,False,False
p03,Sleep_Restlessness,readiness,,,5,No,,False,False
p03,Sleep_Restlessness,sleep_quality,,,5,No,,False,False
p03,Sleep_Restlessness,stress,,,5,No,,False,False
p03,Sleep_Revitalization,fatigue,,,2,No,,False,False
p03,Sleep_Revitalization,mood,,,2,No,,False,False
p03,Sleep_Revitalization,readiness,,,2,No,,False,False
p03,Sleep_Revitalization,sleep_quality,,,2,No,,False,False
p03,Sleep_Revitalization,stress,,,2,No,,False,False
p04,Steps,fatigue,,,4,No,,False,False
p04,Steps,mood,,,4,No,,False,False
p04,Steps,readiness,,,4,No,,False,False
p04,Steps,sleep_quality,,,4,No,,False,False
p04,Steps,stress,,,4,No,,False,False
p04,Exercise_Count,fatigue,,,7,No,,False,False
p04,Exercise_Count,mood,,,7,No,,False,False
p04,Exercise_Count,readiness,,,7,No,,False,False
p04,Exercise_Count,sleep_quality,,,7,No,,False,False
p04,Exercise_Count,stress,,,7,No,,False,False
p04,Exercise_Duration,fatigue,0.2560589092520133,0.44725340164842253,11,Yes,0.8448119808914648,False,False
p04,Exercise_Duration,mood,0.21804898708778173,0.519509001339443,11,Yes,0.8783154456829468,False,False
p04,Exercise_Duration,readiness,-0.02325596480556555,0.945889393292791,11,Yes,0.945889393292791,False,False
p04,Exercise_Duration,sleep_quality,-0.162352949827235,0.6334045288737785,11,Yes,0.8973230825711862,False,False
p04,Exercise_Duration,stress,0.26249888242028363,0.4355011588242589,11,Yes,0.8448119808914648,False,False
p04,Exercise_Distance,fatigue,,,7,No,,False,False
p04,Exercise_Distance,mood,,,7,No,,False,False
p04,Exercise_Distance,readiness,,,7,No,,False,False
p04,Exercise_Distance,sleep_quality,,,7,No,,False,False
p04,Exercise_Distance,stress,,,7,No,,False,False
p04,Exercise_Calories,fatigue,,,6,No,,False,False
p04,Exercise_Calories,mood,,,6,No,,False,False
p04,Exercise_Calories,readiness,,,6,No,,False,False
p04,Exercise_Calories,sleep_quality,,,6,No,,False,False
p04,Exercise_Calories,stress,,,6,No,,False,False
p04,Exercise_Avg_HR,fatigue,,,1,No,,False,False
p04,Exercise_Avg_HR,mood,,,1,No,,False,False
p04,Exercise_Avg_HR,readiness,,,1,No,,False,False
p04,Exercise_Avg_HR,sleep_quality,,,1,No,,False,False
p04,Exercise_Avg_HR,stress,,,1,No,,False,False
p04,Sleep_Hours,fatigue,,,6,No,,False,False
p04,Sleep_Hours,mood,,,6,No,,False,False
p04,Sleep_Hours,readiness,,,6,No,,False,False
p04,Sleep_Hours,sleep_quality,,,6,No,,False,False
p04,Sleep_Hours,stress,,,6,No,,False,False
p04,Sleep_Duration_Score,fatigue,,,3,No,,False,False
p04,Sleep_Duration_Score,mood,,,3,No,,False,False
p04,Sleep_Duration_Score,readiness,,,3,No,,False,False
p04,Sleep_Duration_Score,sleep_quality,,,3,No,,False,False
p04,Sleep_Duration_Score,stress,,,3,No,,False,False
p04,Deep_Sleep_Minutes,fatigue,,,4,No,,False,False
p04,Deep_Sleep_Minutes,mood,,,4,No,,False,False
