Participant,Behavioral_Variable,Wellness_Variable,r,p,N,Included,p_FDR,Significant_FDR
p01,Steps,fatigue,0.1030724293107829,0.3993457196629012,69,Yes,0.7031793745476698,False
p01,Steps,mood,0.071703456380314,0.5582203835599082,69,Yes,0.8149786103991473,False
p01,Steps,readiness,-0.0592178882552692,0.6288552002128172,69,Yes,0.8495723906898232,False
p01,Steps,sleep_quality,0.1244202543540784,0.3083949081261534,69,Yes,0.6268823056015843,False
p01,Steps,stress,0.1511284106659066,0.2151356569469043,69,Yes,0.5152714355192772,False
p01,Exercise_Count,fatigue,0.0436014505893672,0.7220401773206392,69,Yes,0.9066297369688201,False
p01,Exercise_Count,mood,0.0011746770185007,0.99235690951033,69,Yes,0.99235690951033,False
p01,Exercise_Count,readiness,0.1152739545889029,0.3455819815028785,69,Yes,0.6531785360153466,False
p01,Exercise_Count,sleep_quality,-0.0283792502675051,0.8169452392051549,69,Yes,0.9358137270930645,False
p01,Exercise_Count,stress,-0.0935933328691292,0.4443174883451831,69,Yes,0.7395187494049797,False
p01,Exercise_Duration,fatigue,0.0541522423267857,0.6585405254009795,69,Yes,0.8647968978229156,False
p01,Exercise_Duration,mood,-0.0335634196034099,0.784251774598713,69,Yes,0.9293731422684368,False
p01,Exercise_Duration,readiness,0.123772348197371,0.3109406548335341,69,Yes,0.6292846585916763,False
p01,Exercise_Duration,sleep_quality,0.0777937484411014,0.5251923619622664,69,Yes,0.7933034869704669,False
p01,Exercise_Duration,stress,-0.1032926987327285,0.3983335978915218,69,Yes,0.7027205925067412,False
p01,Exercise_Distance,fatigue,0.308624421450118,0.0098769301432209,69,Yes,0.10606344693671196,False
p01,Exercise_Distance,mood,0.0280980318646175,0.8187281964432515,69,Yes,0.9358137270930645,False
p01,Exercise_Distance,readiness,0.3318906533860088,0.0053368683341837,69,Yes,0.07560563473426908,False
p01,Exercise_Distance,sleep_quality,0.1554186224733255,0.2022442676204363,69,Yes,0.5096991650272451,False
