Participant,Behavioral_Variable,Wellness_Variable,r,p,N,Included,p_FDR,Significant_FDR
p01,Steps,fatigue,-0.2543089563648793,0.0425759936421139,64,Yes,0.6355751799440725,False
p01,Steps,mood,0.1204647175068693,0.3430365343044643,64,Yes,0.9332282182116363,False
p01,Steps,readiness,-0.5513998405216314,2.3346905726246063e-06,64,Yes,0.0011457557594348323,True
p01,Steps,sleep_quality,-0.0321329629611375,0.8009929465915332,64,Yes,0.9845220176535154,False
p01,Steps,stress,0.2719181170118933,0.0297346918835855,64,Yes,0.5934598980556051,False
p01,Exercise_Count,fatigue,-0.2717533927965999,0.029837719525735,64,Yes,0.5934598980556051,False
p01,Exercise_Count,mood,-0.1043281061914602,0.4119782504078866,64,Yes,0.9385259214587792,False
p01,Exercise_Count,readiness,-0.3668805693039848,0.0028643653871625,64,Yes,0.20447428049905295,False
p01,Exercise_Count,sleep_quality,-0.3620300534999658,0.0032866130045772,64,Yes,0.20447428049905295,False
p01,Exercise_Count,stress,0.1254728665219542,0.3231965627325307,64,Yes,0.9290567859407072,False
p01,Exercise_Duration,fatigue,-0.3007488716975663,0.015745404082139,64,Yes,0.510443804501595,False
p01,Exercise_Duration,mood,-0.0325143051862137,0.7986804575985524,64,Yes,0.9845220176535154,False
p01,Exercise_Duration,readiness,-0.454128343410481,0.0001637582475985,64,Yes,0.03565835841457338,True
p01,Exercise_Duration,sleep_quality,-0.2186821775407557,0.082553702463832,64,Yes,0.7253010181425795,False
p01,Exercise_Duration,stress,0.1414717109845416,0.2648132282029394,64,Yes,0.8596962564472517,False
p01,Exercise_Distance,fatigue,-0.4106915706816197,0.0007494526791325,64,Yes,0.10879554725406791,False
p01,Exercise_Distance,mood,0.0,1.0000000000000002,64,Yes,1.0,False
p01,Exercise_Distance,readiness,-0.4909814883675654,3.802201284720302e-05,64,Yes,0.011039057729971276,True
p01,Exercise_Distance,sleep_quality,-0.1394651803677953,0.2717185558110293,64,Yes,0.873309454285633,False
p01,Exercise_Distance,stress,0.1494698215616293,0.2384670123897639,64,Yes,0.850496204665129,False
p01,Exercise_Calories,fatigue,-0.3628886932275212,0.0032080630899476,64,Yes,0.20447428049905295,False
p01,Exercise_Calories,mood,-0.0320699702628639,0.8013751035849528,64,Yes,0.9845220176535154,False
p01,Exercise_Calories,readiness,-0.5490383961731159,2.6308972662108664e-06,64,Yes,0.0011457557594348323,True
p01,Exercise_Calories,sleep_quality,-0.2594574415340738,0.0384195706706991,64,Yes,0.6355751799440725,False
p01,Exercise_Calories,stress,0.1765933930388674,0.1627443518146673,64,Yes,0.7557619388028496,False
p01,Exercise_Avg_HR,fatigue,-0.3607571413845357,0.0137777779265809,46,Yes,0.5048827753119189,False
p01,Exercise_Avg_HR,mood,0.0177317281009663,0.9068902832011384,46,Yes,0.9845421930474553,False
p01,Exercise_Avg_HR,readiness,-0.426294836985842,0.003136018192656,46,Yes,0.20447428049905295,False
p01,Exercise_Avg_HR,sleep_quality,-0.0606829167524494,0.688704004858013,46,Yes,0.9662730133664443,False
p01,Exercise_Avg_HR,stress,0.2256996993940413,0.13150887982415,46,Yes,0.7406147741470405,False
p01,Sleep_Hours,fatigue,0.2147482721811997,0.0883680406638507,64,Yes,0.7253010181425795,False
p01,Sleep_Hours,mood,-0.0016536414690104,0.9896530041798808,64,Yes,0.9976710262044862,False
p01,Sleep_Hours,readiness,0.088974876162895,0.4844529548783912,64,Yes,0.9555271008683983,False
p01,Sleep_Hours,sleep_quality,-0.0637966006111664,0.6164946807393301,64,Yes,0.9589230766395099,False
p01,Sleep_Hours,stress,-0.0410280883143149,0.7475350922552695,64,Yes,0.9747051876561972,False
p01,Sleep_Duration_Score,fatigue,0.0661968160727368,0.6032673428973278,64,Yes,0.9589230766395099,False
p01,Sleep_Duration_Score,mood,0.0,1.0000000000000002,64,Yes,1.0,False
