Participant,Behavioral_Variable,Wellness_Variable,r,p,N,Included,p_FDR,Significant_raw,Significant_FDR
p01,Steps,fatigue,0.103072429310783,0.3993457196629012,69,Yes,0.7033486256293758,False,False
p01,Steps,mood,0.07170345638031404,0.5582203835599082,69,Yes,0.8149362980264565,False,False
p01,Steps,readiness,-0.059217888255269246,0.6288552002128172,69,Yes,0.8510822258519329,False,False
p01,Steps,sleep_quality,0.12442025435407847,0.3083949081261534,69,Yes,0.6285598971552,False,False
p01,Steps,stress,0.15112841066590665,0.21513565694690398,69,Yes,0.5187809662190661,False,False
p01,Exercise_Count,fatigue,0.043601450589367235,0.7220401773206392,69,Yes,0.9076296729271508,False,False
p01,Exercise_Count,mood,0.001174677018500775,0.9923569095103301,69,Yes,0.9945670585292841,False,False
p01,Exercise_Count,readiness,0.115273954588903,0.3455819815028785,69,Yes,0.6603477353558188,False,False
p01,Exercise_Count,sleep_quality,-0.02837925026750511,0.8169452392051549,69,Yes,0.9286917721652733,False,False
p01,Exercise_Count,stress,-0.09359333286912928,0.4443174883451831,69,Yes,0.7432820437001204,False,False
p01,Exercise_Duration,fatigue,0.05415224232678577,0.6585405254009795,69,Yes,0.8732061831317786,False,False
p01,Exercise_Duration,mood,-0.03356341960340992,0.784251774598713,69,Yes,0.9178499312598721,False,False
p01,Exercise_Duration,readiness,0.1237723481973711,0.31094065483353417,69,Yes,0.6302851111490557,False,False
p01,Exercise_Duration,sleep_quality,0.07779374844110143,0.5251923619622682,69,Yes,0.79978532278518,False,False
p01,Exercise_Duration,stress,-0.10329269873272852,0.3983335978915218,69,Yes,0.7029416433379796,False,False
p01,Exercise_Distance,fatigue,0.3086244214501181,0.009876930143220872,69,Yes,0.1045792603399857,True,False
p01,Exercise_Distance,mood,0.028098031864617515,0.8187281964432515,69,Yes,0.9286917721652733,False,False
p01,Exercise_Distance,readiness,0.3318906533860089,0.005336868334183796,69,Yes,0.07874068034041666,True,False
p01,Exercise_Distance,sleep_quality,0.15541862247332555,0.2022442676204363,69,Yes,0.5056106690510906,False,False
p01,Exercise_Distance,stress,0.04725621739491934,0.6998048489687053,69,Yes,0.8933678923004749,False,False
p01,Exercise_Calories,fatigue,0.11375933968456227,0.3519990255724227,69,Yes,0.6655443760823119,False,False
p01,Exercise_Calories,mood,-0.02800590061784303,0.8193125189991411,69,Yes,0.9286917721652733,False,False
p01,Exercise_Calories,readiness,0.18235449644499246,0.1336965091027298,69,Yes,0.4031327576988938,False,False
p01,Exercise_Calories,sleep_quality,0.12000671716782527,0.32600393554737644,69,Yes,0.6417601596043454,False,False
p01,Exercise_Calories,stress,-0.09292396627322129,0.44759637937037877,69,Yes,0.7457453556882927,False,False
p01,Exercise_Avg_HR,fatigue,0.3339445590123488,0.02035817315943421,48,Yes,0.14896224263000643,True,False
p01,Exercise_Avg_HR,mood,-0.0038889003306172253,0.9790715282719893,48,Yes,0.9872489304603543,False,False
p01,Exercise_Avg_HR,readiness,0.42172542285779024,0.002832037554333684,48,Yes,0.05540943041087642,True,False
p01,Exercise_Avg_HR,sleep_quality,0.20169482133962674,0.16921712186467164,48,Yes,0.45734357260722064,False,False
p01,Exercise_Avg_HR,stress,0.036829317650413494,0.8037326485626122,48,Yes,0.9264233603453292,False,False
p01,Sleep_Hours,fatigue,0.0030774098922045534,0.9799784446890244,69,Yes,0.9872489304603543,False,False
p01,Sleep_Hours,mood,0.07817825467116445,0.5231404630314314,69,Yes,0.79978532278518,False,False
p01,Sleep_Hours,readiness,-0.12079806653920562,0.32280052643692064,69,Yes,0.6417601596043454,False,False
p01,Sleep_Hours,sleep_quality,-0.0057917977731872464,0.9623285264701011,69,Yes,0.9842856743500745,False,False
p01,Sleep_Hours,stress,-0.10826329226153536,0.3758979326695782,69,Yes,0.6862234064961874,False,False
p01,Sleep_Duration_Score,fatigue,0.08073308889953934,0.509609631581428,69,Yes,0.7935098069607011,False,False
p01,Sleep_Duration_Score,mood,0.11987906489370158,0.3265225616752431,69,Yes,0.6417601596043454,False,False
p01,Sleep_Duration_Score,readiness,0.06459109297837462,0.5979969497776929,69,Yes,0.8326037553379021,False,False
p01,Sleep_Duration_Score,sleep_quality,0.21703858999815234,0.07323860687159828,69,Yes,0.30236122102953417,False,False
p01,Sleep_Duration_Score,stress,-0.20143570873866407,0.09696610346390251,69,Yes,0.349077972470049,False,False
p01,Deep_Sleep_Minutes,fatigue,-0.11496144094440416,0.3469000198988601,69,Yes,0.6614619023495213,False,False
p01,Deep_Sleep_Minutes,mood,-0.08634205623558225,0.48054432077596315,69,Yes,0.7709267178224009,False,False
p01,Deep_Sleep_Minutes,readiness,-0.20012181484024838,0.0992107411893853,69,Yes,0.35292358525868295,False,False
p01,Deep_Sleep_Minutes,sleep_quality,-0.11796391535724234,0.3343662722192942,69,Yes,0.6504135667528512,False,False
p01,Deep_Sleep_Minutes,stress,-0.02249643933317075,0.854422390718086,69,Yes,0.9366384307506423,False,False
p01,Sleep_Restlessness,fatigue,-0.04772049857265479,0.6969976606746272,69,Yes,0.8933678923004749,False,False
p01,Sleep_Restlessness,mood,-0.015329142521089145,0.9005120754140361,69,Yes,0.9583013707728136,False,False
p01,Sleep_Restlessness,readiness,-0.16099023913166513,0.18633695807327003,69,Yes,0.4836273342053005,False,False
p01,Sleep_Restlessness,sleep_quality,-0.1118216964615355,0.36031506812121705,69,Yes,0.6700073580766432,False,False
p01,Sleep_Restlessness,stress,0.21271267567020147,0.07929572794279899,69,Yes,0.31438834867189025,False,False
p01,Sleep_Composition,fatigue,-0.2512803450972715,0.037278279376038614,69,Yes,0.20969032149021719,True,False
p01,Sleep_Composition,mood,-0.1670887761985431,0.1699837132264356,69,Yes,0.45803994581973667,False,False
p01,Sleep_Composition,readiness,-0.10736798055725108,0.3798817482945671,69,Yes,0.6906940878083038,False,False
p01,Sleep_Composition,sleep_quality,-0.2333807396876631,0.05361527403523715,69,Yes,0.25684079538203686,False,False
p01,Sleep_Composition,stress,-0.21323152844859852,0.07854887970040181,69,Yes,0.31438834867189025,False,False
p01,Sleep_Revitalization,fatigue,0.28481505162126225,0.017692817319080803,69,Yes,0.1384655268449802,True,False
p01,Sleep_Revitalization,mood,-0.07941475717420915,0.5165693048092697,69,Yes,0.7988185125916542,False,False
p01,Sleep_Revitalization,readiness,0.28047755752719544,0.019578686959944566,69,Yes,0.14684015219958424,True,False
p01,Sleep_Revitalization,sleep_quality,0.0234705980215349,0.8481918208706118,69,Yes,0.9335252300162542,False,False
p01,Sleep_Revitalization,stress,-0.09701458417853914,0.427769320602748,69,Yes,0.7264560722916988,False,False
p01,Sleep_Score,fatigue,0.0835809472609641,0.49474080318356095,69,Yes,0.7808109678940229,False,False
p01,Sleep_Score,mood,-0.05077952890608283,0.6786045967063382,69,Yes,0.8851117634390222,False,False
p01,Sleep_Score,readiness,0.13830875442671534,0.25706851397443437,69,Yes,0.5712633643876319,False,False
p01,Sleep_Score,sleep_quality,0.029777819328743606,0.8080920656869679,69,Yes,0.9264233603453292,False,False
p01,Sleep_Score,stress,-0.26618221168921163,0.027054430869474906,69,Yes,0.17027264183585605,True,False
p02,Steps,fatigue,0.03138040334860274,0.8287275170160282,50,Yes,0.9323184566430318,False,False
p02,Steps,mood,0.24537955454390925,0.08587354716055434,50,Yes,0.33061854391037576,False,False
p02,Steps,readiness,0.553478565900745,3.059230299184328e-05,50,Yes,0.002503006608423541,True,True
p02,Steps,sleep_quality,-0.050763721815700706,0.726263192212719,50,Yes,0.9076296729271508,False,False
p02,Steps,stress,0.20416529025851884,0.15497339908503077,50,Yes,0.43710106316563646,False,False
p02,Exercise_Count,fatigue,0.13891160688408377,0.3360071751985249,50,Yes,0.6504135667528512,False,False
p02,Exercise_Count,mood,0.13344918663528677,0.3555369720557434,50,Yes,0.6660573335977016,False,False
p02,Exercise_Count,readiness,0.266070499573437,0.061812545390984325,50,Yes,0.27463097015625426,False,False
p02,Exercise_Count,sleep_quality,0.10659459708621413,0.4612583037414295,50,Yes,0.7520515821871134,False,False
p02,Exercise_Count,stress,0.07718919099346543,0.5941713927701249,50,Yes,0.8326037553379021,False,False
p02,Exercise_Duration,fatigue,0.028971156460666014,0.8417015757692713,50,Yes,0.9335252300162542,False,False
p02,Exercise_Duration,mood,0.08961438663680509,0.5359892994058326,50,Yes,0.8098020249866137,False,False
p02,Exercise_Duration,readiness,0.48860167192525605,0.0003181568332435508,50,Yes,0.011930881246633154,True,True
p02,Exercise_Duration,sleep_quality,0.08360430745364711,0.5637831588335739,50,Yes,0.8172421456614475,False,False
p02,Exercise_Duration,stress,0.06697894983303938,0.6439714226398727,50,Yes,0.8611802085822964,False,False
p02,Exercise_Distance,fatigue,0.06181362452771467,0.6697862942960016,50,Yes,0.8798380211760609,False,False
p02,Exercise_Distance,mood,0.14442621858068613,0.3169834008925167,50,Yes,0.6353787545729733,False,False
p02,Exercise_Distance,readiness,0.4922313508422883,0.00028248028377819023,50,Yes,0.01118522362230124,True,True
p02,Exercise_Distance,sleep_quality,0.0883235728928512,0.5419019342208804,50,Yes,0.8116963720921709,False,False
p02,Exercise_Distance,stress,0.2191948041205255,0.12616401092512844,50,Yes,0.3905558119206976,False,False
p02,Exercise_Calories,fatigue,0.02704554869100999,0.8521013711521924,50,Yes,0.9352332122402112,False,False
p02,Exercise_Calories,mood,0.1335306076021934,0.3552408745938508,50,Yes,0.6660573335977016,False,False
p02,Exercise_Calories,readiness,0.545274004004764,4.2263913899447654e-05,50,Yes,0.0029259632699617606,True,True
p02,Exercise_Calories,sleep_quality,0.046908720033267015,0.7463291982398162,50,Yes,0.9096883708842638,False,False
p02,Exercise_Calories,stress,0.06767722367179294,0.6405124941877869,50,Yes,0.8611802085822964,False,False
p02,Exercise_Avg_HR,fatigue,0.017050856446180217,0.9084243850241138,48,Yes,0.9596032236170217,False,False
p02,Exercise_Avg_HR,mood,0.0734826759508239,0.6196439417945141,48,Yes,0.846232220608428,False,False
p02,Exercise_Avg_HR,readiness,0.22738540458183049,0.12011660197676347,48,Yes,0.37931558518977937,False,False
p02,Exercise_Avg_HR,sleep_quality,-0.15093383385064577,0.3058271944542184,48,Yes,0.6255556250199922,False,False
p02,Exercise_Avg_HR,stress,-0.080323634592561,0.5873311958988794,48,Yes,0.829824295618511,False,False
p02,Sleep_Hours,fatigue,-0.021010094813966314,0.8860613675040164,49,Yes,0.950482992554964,False,False
p02,Sleep_Hours,mood,0.04898738168854187,0.7381832994360341,49,Yes,0.9076296729271508,False,False
p02,Sleep_Hours,readiness,0.16654569250872261,0.2527341605577307,49,Yes,0.5676852489168229,False,False
p02,Sleep_Hours,sleep_quality,0.06966349938834314,0.6343348803147466,49,Yes,0.8570613851421911,False,False
p02,Sleep_Hours,stress,0.02133620731603439,0.8843048000720019,49,Yes,0.949730692201434,False,False
p02,Sleep_Duration_Score,fatigue,-0.1359189392892398,0.3623169310420457,47,Yes,0.670957279707492,False,False
p02,Sleep_Duration_Score,mood,-0.08900550631716857,0.5518817454065598,47,Yes,0.8149362980264565,False,False
p02,Sleep_Duration_Score,readiness,-0.030368731392813576,0.839418049415173,47,Yes,0.9335252300162542,False,False
p02,Sleep_Duration_Score,sleep_quality,-0.031194510656546832,0.83511133731745,47,Yes,0.9335252300162542,False,False
p02,Sleep_Duration_Score,stress,-0.08017952800076467,0.5921345783145203,47,Yes,0.8326037553379021,False,False
p02,Deep_Sleep_Minutes,fatigue,0.12987875647696465,0.373757547792139,49,Yes,0.6850967851021875,False,False
p02,Deep_Sleep_Minutes,mood,-0.17449065301248629,0.23047804460388635,49,Yes,0.5365005655458465,False,False
p02,Deep_Sleep_Minutes,readiness,0.050456429767972946,0.7306232343492858,49,Yes,0.9076296729271508,False,False
p02,Deep_Sleep_Minutes,sleep_quality,0.2347600909472789,0.10444431685654919,49,Yes,0.3629339195787423,False,False
p02,Deep_Sleep_Minutes,stress,-0.22582553214617856,0.11871236243151143,49,Yes,0.37931558518977937,False,False
p02,Sleep_Restlessness,fatigue,-0.12437188298895671,0.4048831660140239,47,Yes,0.7061915686291115,False,False
p02,Sleep_Restlessness,mood,0.04711917907993118,0.7531344390853396,47,Yes,0.9096883708842638,False,False
p02,Sleep_Restlessness,readiness,0.3127221033232009,0.032339909971476385,47,Yes,0.1940394598288583,True,False
p02,Sleep_Restlessness,sleep_quality,0.02897594743785682,0.846692352887634,47,Yes,0.9335252300162542,False,False
p02,Sleep_Restlessness,stress,0.037577080641582127,0.8019942351927869,47,Yes,0.9264233603453292,False,False
p02,Sleep_Composition,fatigue,-0.02957725649892707,0.8435502195800859,47,Yes,0.9335252300162542,False,False
p02,Sleep_Composition,mood,-0.11174544050187897,0.4545771829747106,47,Yes,0.7483556414269482,False,False
p02,Sleep_Composition,readiness,-0.1961068586260346,0.18646520552137696,47,Yes,0.4836273342053005,False,False
p02,Sleep_Composition,sleep_quality,0.1789424018185088,0.22879215673267878,47,Yes,0.5351222700552772,False,False
p02,Sleep_Composition,stress,-0.10678418241541772,0.4749742861976629,47,Yes,0.7674629399962237,False,False
p02,Sleep_Revitalization,fatigue,-0.08145299799309934,0.5862469970320485,47,Yes,0.8295948071208233,False,False
p02,Sleep_Revitalization,mood,-0.19055442466669145,0.19949517819770046,47,Yes,0.504341742634636,False,False
p02,Sleep_Revitalization,readiness,0.04928389358757863,0.7421744125425891,47,Yes,0.9076296729271508,False,False
p02,Sleep_Revitalization,sleep_quality,0.24938695681837827,0.09093252740687167,47,Yes,0.34242374337315695,False,False
p02,Sleep_Revitalization,stress,-0.32279444850007666,0.026898363241128223,47,Yes,0.17027264183585605,True,False
p02,Sleep_Score,fatigue,-0.159964793214843,0.2827922558430771,47,Yes,0.6016856507299513,False,False
p02,Sleep_Score,mood,-0.21679317952834626,0.14327339262229657,47,Yes,0.41730114356008713,False,False
p02,Sleep_Score,readiness,-0.07011690564120958,0.6395483409301341,47,Yes,0.8611802085822964,False,False
p02,Sleep_Score,sleep_quality,0.18418481472272422,0.215219101637317,47,Yes,0.5187809662190661,False,False
p02,Sleep_Score,stress,-0.2822810654492074,0.05455445315599848,47,Yes,0.25978311026665946,False,False
p03,Steps,fatigue,-0.34064350785430464,0.03383525292059411,39,Yes,0.20047739316121757,True,False
p03,Steps,mood,-0.10233372062247151,0.5353156097583004,39,Yes,0.8098020249866137,False,False
p03,Steps,readiness,,,39,No,,False,False
p03,Steps,sleep_quality,,,39,No,,False,False
p03,Steps,stress,0.08675608598876766,0.5994747038432895,39,Yes,0.8326037553379021,False,False
p03,Exercise_Count,fatigue,-0.21651529804411335,0.18553198947908142,39,Yes,0.4836273342053005,False,False
p03,Exercise_Count,mood,-0.07339449541284408,0.6570168384390491,39,Yes,0.8732061831317786,False,False
p03,Exercise_Count,readiness,,,39,No,,False,False
p03,Exercise_Count,sleep_quality,,,39,No,,False,False
p03,Exercise_Count,stress,0.09054276100026555,0.5835747917349703,39,Yes,0.8271138780495642,False,False
p03,Exercise_Duration,fatigue,-0.4155821165032195,0.008511892902411923,39,Yes,0.09805752877202258,True,False
p03,Exercise_Duration,mood,-0.19998676832687198,0.22221480172427957,39,Yes,0.52507362889881,False,False
p03,Exercise_Duration,readiness,,,39,No,,False,False
p03,Exercise_Duration,sleep_quality,,,39,No,,False,False
p03,Exercise_Duration,stress,0.08604605900660983,0.6024768538416894,39,Yes,0.8331378632603537,False,False
p03,Exercise_Distance,fatigue,,,39,No,,False,False
p03,Exercise_Distance,mood,,,39,No,,False,False
p03,Exercise_Distance,readiness,,,39,No,,False,False
p03,Exercise_Distance,sleep_quality,,,39,No,,False,False
p03,Exercise_Distance,stress,,,39,No,,False,False
p03,Exercise_Calories,fatigue,-0.40649444189504746,0.010231271156426584,39,Yes,0.1052552253554554,True,False
p03,Exercise_Calories,mood,-0.17849435541574918,0.27695300796461214,39,Yes,0.5934707313527403,False,False
p03,Exercise_Calories,readiness,,,39,No,,False,False
