Participant,Behavioral_Variable,Wellness_Variable,Window,Relationship,r,p,N,Included,p_FDR,Significant_raw,Significant_FDR
p01,Steps,fatigue,Previous 7 days,7-day history → current well-being,-0.04576099979897848,0.5954261281365055,137,True,0.8534972561229454,False,False
p01,Steps,mood,Previous 7 days,7-day history → current well-being,0.15277824164158646,0.07469753570640536,137,True,0.37272066663197223,False,False
p01,Steps,readiness,Previous 7 days,7-day history → current well-being,-0.2307585205387755,0.0066691816361009165,137,True,0.09451506740581181,True,False
p01,Steps,sleep_quality,Previous 7 days,7-day history → current well-being,0.009656064518268519,0.9108326263249028,137,True,0.9882193366747707,False,False
p01,Steps,stress,Previous 7 days,7-day history → current well-being,0.26821455551406626,0.001530288687957571,137,True,0.04545857573050431,True,True
p01,Exercise_Count,fatigue,Previous 7 days,7-day history → current well-being,-0.030388685076663226,0.7244537053344542,137,True,0.9273741982101378,False,False
p01,Exercise_Count,mood,Previous 7 days,7-day history → current well-being,0.08815612802704317,0.3056545898558752,137,True,0.6740568101325118,False,False
p01,Exercise_Count,readiness,Previous 7 days,7-day history → current well-being,-0.05417829050636261,0.529485033868808,137,True,0.8207341203718918,False,False
p01,Exercise_Count,sleep_quality,Previous 7 days,7-day history → current well-being,-0.07758353830266895,0.3675188126362405,137,True,0.7306968518948875,False,False
p01,Exercise_Count,stress,Previous 7 days,7-day history → current well-being,0.06009283574782924,0.48545573782910173,137,True,0.7899754466090295,False,False
p01,Exercise_Duration,fatigue,Previous 7 days,7-day history → current well-being,-0.07704422515506054,0.3708684184640441,137,True,0.7307641902781732,False,False
p01,Exercise_Duration,mood,Previous 7 days,7-day history → current well-being,0.10919491156217363,0.2040188130493854,137,True,0.5788174190446047,False,False
p01,Exercise_Duration,readiness,Previous 7 days,7-day history → current well-being,-0.08503346398919105,0.32317103725991453,137,True,0.6871636792263446,False,False
p01,Exercise_Duration,sleep_quality,Previous 7 days,7-day history → current well-being,-0.07840609859859832,0.36244601596029585,137,True,0.7268045220237974,False,False
p01,Exercise_Duration,stress,Previous 7 days,7-day history → current well-being,0.13451107697738496,0.11708741471165428,137,True,0.4530968921791985,False,False
p01,Exercise_Distance,fatigue,Previous 7 days,7-day history → current well-being,-0.21779204971680166,0.010570078687883674,137,True,0.11740069262490374,True,False
p01,Exercise_Distance,mood,Previous 7 days,7-day history → current well-being,-0.18727231263353072,0.028429579802213195,137,True,0.2251051515628835,True,False
p01,Exercise_Distance,readiness,Previous 7 days,7-day history → current well-being,-0.3251202328382915,0.00010600467046876953,137,True,0.013383089646682153,True,True
p01,Exercise_Distance,sleep_quality,Previous 7 days,7-day history → current well-being,-0.2770078100671947,0.0010493283490203384,137,True,0.04302449806283052,True,True
p01,Exercise_Distance,stress,Previous 7 days,7-day history → current well-being,-0.0462065987908361,0.5918442267426434,137,True,0.8534972561229454,False,False
p01,Exercise_Calories,fatigue,Previous 7 days,7-day history → current well-being,-0.12230602556536986,0.15450735339462743,137,True,0.5033949255760443,False,False
p01,Exercise_Calories,mood,Previous 7 days,7-day history → current well-being,0.07617701035367046,0.3762937221470529,137,True,0.7307641902781732,False,False
p01,Exercise_Calories,readiness,Previous 7 days,7-day history → current well-being,-0.1615492584537781,0.05929929796234442,137,True,0.33273494967759926,False,False
p01,Exercise_Calories,sleep_quality,Previous 7 days,7-day history → current well-being,-0.14464149238567073,0.09172782185469529,137,True,0.4081126378163945,False,False
p01,Exercise_Calories,stress,Previous 7 days,7-day history → current well-being,0.12994268749853669,0.1301708223604034,137,True,0.4646235742651079,False,False
p01,Exercise_Avg_HR,fatigue,Previous 7 days,7-day history → current well-being,-0.1814095315022508,0.03387767863998752,137,True,0.24440325304562424,True,False
p01,Exercise_Avg_HR,mood,Previous 7 days,7-day history → current well-being,-0.0152496904459873,0.8596121792498742,137,True,0.9704238296534385,False,False
p01,Exercise_Avg_HR,readiness,Previous 7 days,7-day history → current well-being,-0.33726863686563824,5.5731269277214715e-05,137,True,0.009381430328331143,True,True
p01,Exercise_Avg_HR,sleep_quality,Previous 7 days,7-day history → current well-being,-0.10462682158562377,0.2237003641576973,137,True,0.602765161006588,False,False
p01,Exercise_Avg_HR,stress,Previous 7 days,7-day history → current well-being,0.08537922557066506,0.32120025768691374,137,True,0.6855069140657413,False,False
p01,Sleep_Hours,fatigue,Previous 7 days,7-day history → current well-being,0.0035746383183646382,0.9670547923255919,136,True,0.9937742115046837,False,False
p01,Sleep_Hours,mood,Previous 7 days,7-day history → current well-being,-0.27251088979789845,0.0013290455093277816,136,True,0.04446203512659057,True,True
p01,Sleep_Hours,readiness,Previous 7 days,7-day history → current well-being,0.15164676879695732,0.07800618596021054,136,True,0.3824575136884109,False,False
p01,Sleep_Hours,sleep_quality,Previous 7 days,7-day history → current well-being,-0.09313118479827254,0.2808518306803798,136,True,0.6636894679622124,False,False
p01,Sleep_Hours,stress,Previous 7 days,7-day history → current well-being,-0.10441665996846462,0.22636816694041556,136,True,0.6064505268164979,False,False
p01,Sleep_Duration_Score,fatigue,Previous 7 days,7-day history → current well-being,0.02580749181058708,0.7655229076729415,136,True,0.9379797958420278,False,False
p01,Sleep_Duration_Score,mood,Previous 7 days,7-day history → current well-being,-0.22669817455641555,0.007954964344415165,136,True,0.09919153071431255,True,False
p01,Sleep_Duration_Score,readiness,Previous 7 days,7-day history → current well-being,0.18005275311511953,0.0359448419536308,136,True,0.25163689567917763,True,False
p01,Sleep_Duration_Score,sleep_quality,Previous 7 days,7-day history → current well-being,-0.08610251975672825,0.3189084931155642,136,True,0.6843190598119625,False,False
p01,Sleep_Duration_Score,stress,Previous 7 days,7-day history → current well-being,-0.17690837758256628,0.03936742642480787,136,True,0.26825638696534415,True,False
