Behavioral_Variable,Wellness_Variable,Significant_Relationships,Participants,Mean_Abs_r,Mean_r
Steps,readiness,3,3,0.38,0.094
Exercise_Distance,stress,3,3,0.364,-0.163
Exercise_Count,sleep_quality,2,2,0.37,-0.01
Exercise_Avg_HR,stress,2,2,0.361,-0.361
Sleep_Restlessness,readiness,2,2,0.35,-0.042
Exercise_Distance,readiness,2,2,0.331,-0.331
Exercise_Count,stress,2,2,0.314,-0.049
Sleep_Duration_Score,readiness,1,1,0.436,0.436
Steps,fatigue,1,1,0.407,-0.407
Exercise_Calories,sleep_quality,1,1,0.386,0.386
Exercise_Count,fatigue,1,1,0.38,-0.38
Exercise_Duration,fatigue,1,1,0.36,-0.36
Exercise_Calories,stress,1,1,0.356,0.356
Exercise_Duration,sleep_quality,1,1,0.356,0.356
Exercise_Duration,stress,1,1,0.346,0.346
Exercise_Avg_HR,readiness,1,1,0.337,-0.337
Exercise_Count,mood,1,1,0.334,-0.334
Deep_Sleep_Minutes,readiness,1,1,0.328,-0.328
Steps,sleep_quality,1,1,0.325,0.325
Deep_Sleep_Minutes,stress,1,1,0.325,0.325
Exercise_Duration,readiness,1,1,0.325,-0.325
Sleep_Revitalization,mood,1,1,0.316,-0.316
Sleep_Revitalization,fatigue,1,1,0.285,-0.285
Sleep_Score,mood,1,1,0.279,-0.279
Exercise_Avg_HR,mood,1,1,0.278,-0.278
Sleep_Composition,readiness,1,1,0.277,-0.277
Exercise_Distance,sleep_quality,1,1,0.277,-0.277
Exercise_Distance,mood,1,1,0.277,-0.277
Sleep_Restlessness,mood,1,1,0.276,-0.276
Sleep_Duration_Score,mood,1,1,0.273,0.273
Sleep_Hours,mood,1,1,0.273,-0.273
Sleep_Score,readiness,1,1,0.269,0.269
Steps,stress,1,1,0.268,0.268
