Behavioral_Variable,Significant_Relationships,Participants,Mean_Abs_r,Mean_r
Sleep_Duration_Score,8,6,0.5403477332105977,0.5403477332105976
Sleep_Score,8,5,0.5255609723875988,0.5255609723875988
Steps,5,4,0.5033314147507749,0.5033314147507749
Exercise_Distance,4,3,0.45728278794630717,0.45728278794630717
Exercise_Calories,3,3,0.5222069555351269,0.5222069555351269
Sleep_Composition,3,3,0.4562322202111839,0.4562322202111839
Exercise_Duration,3,3,0.4469528536849991,0.4469528536849991
Deep_Sleep_Minutes,3,3,0.42992017177311953,0.4299201717731194
Sleep_Hours,2,1,0.5543325394664015,0.5543325394664015
Sleep_Revitalization,2,1,0.4799563673889685,0.4799563673889685
Sleep_Restlessness,1,1,0.6670017183043706,-0.6670017183043706
Exercise_Count,1,1,0.5441130034011503,0.5441130034011503
