Behavioral_Variable,Wellness_Variable,Significant_Participants,Mean_r,Mean_Abs_r,Min_r,Max_r
Sleep_Score,sleep_quality,4,0.5265774131859908,0.5265774131859908,0.4901086476725554,0.5666787523308817
Sleep_Duration_Score,fatigue,3,0.613045246910957,0.613045246910957,0.6057551295961316,0.6238450998596135
Sleep_Duration_Score,sleep_quality,3,0.5469749234039919,0.5469749234039918,0.4554879213798363,0.6244408443631928
Steps,readiness,3,0.5454081511517911,0.5454081511517911,0.3811133086137478,0.7016325789408804
Sleep_Score,fatigue,3,0.5447860915527324,0.5447860915527324,0.511705100975709,0.5929423410271689
Exercise_Calories,readiness,3,0.5222069555351269,0.5222069555351269,0.5053056526642724,0.545274004004764
Exercise_Distance,readiness,3,0.4714802348851652,0.4714802348851652,0.4100019301480218,0.5122074236651857
Sleep_Composition,sleep_quality,3,0.4562322202111839,0.4562322202111839,0.4528796246750063,0.4621682922146251
Exercise_Duration,readiness,3,0.4469528536849991,0.4469528536849991,0.4107499822084588,0.488601671925256
Deep_Sleep_Minutes,fatigue,2,0.4452466425002012,0.4452466425002012,0.4082914796490419,0.4822018053513605
Sleep_Restlessness,readiness,1,-0.6670017183043706,0.6670017183043706,-0.6670017183043706,-0.6670017183043706
Sleep_Hours,fatigue,1,0.6398877827820351,0.6398877827820351,0.6398877827820351,0.6398877827820351
Exercise_Count,readiness,1,0.5441130034011503,0.5441130034011503,0.5441130034011503,0.5441130034011503
Sleep_Revitalization,readiness,1,0.496117131489656,0.496117131489656,0.496117131489656,0.496117131489656
Sleep_Duration_Score,mood,1,0.4871936576032857,0.4871936576032857,0.4871936576032857,0.4871936576032857
Sleep_Hours,sleep_quality,1,0.4687772961507679,0.4687772961507679,0.4687772961507679,0.4687772961507679
Sleep_Score,mood,1,0.4638198516986295,0.4638198516986295,0.4638198516986295,0.4638198516986295
Sleep_Revitalization,sleep_quality,1,0.463795603288281,0.463795603288281,0.463795603288281,0.463795603288281
Steps,fatigue,1,0.4571353928531693,0.4571353928531693,0.4571353928531693,0.4571353928531693
Steps,mood,1,0.4232972274453323,0.4232972274453323,0.4232972274453323,0.4232972274453323
Exercise_Distance,stress,1,0.4146904471297329,0.4146904471297329,0.4146904471297329,0.4146904471297329
Deep_Sleep_Minutes,sleep_quality,1,0.399267230318956,0.399267230318956,0.399267230318956,0.399267230318956
Sleep_Duration_Score,stress,1,0.355527697136649,0.355527697136649,0.355527697136649,0.355527697136649
